official_parcel_id,objectid_1,pin14,subdiv_name,nbh_name,parcel_quality_status,valuation_band,parcel_size_category,zoning_jurisdiction_name,planning_jurisdiction_name,dominant_zoning_code_raw,dominant_zoning_general_normalized,zoning_assignment_confidence,primary_governance_warning,total_permit_count,first_permit_date,latest_permit_date,active_year_count,recent_permit_count_1yr,recent_permit_count_3yr,total_permit_amount,avg_permit_amount,dominant_permit_type,dominant_work_type,latest_permit_status,ambiguous_permit_count,has_unmatched_or_ambiguous_permit_flag,co_date_future_outlier_count,development_activity_score,development_activity_class
CFS-PARCEL-0149726579,149726579,45896367300000,,CONCORD MILLS,review,ultra_high,extreme_large,Concord,,C-2,unknown,high,jurisdiction_code_semantics_review,286,2000-08-02,2025-10-22,19,24,59,61926619.0,290735.30046948354,upfit,commercial_upfit,closed,0,False,0,100.0,very_high_activity
CFS-PARCEL-0149808150,149808150,56213814220000,,NE MEDICAL CENTER,review,ultra_high,commercial_large,Concord,,PID,unknown,high,review_sliver_overlap,170,2008-02-01,2025-12-12,18,4,16,154499165.69,1735945.6819101123,commercial_new_construction,commercial_upfit,closed,0,False,0,100.0,very_high_activity
CFS-PARCEL-0149752131,149752131,55091820390000,,CONCORD PARKWAY SOUTH,review,ultra_high,commercial_large,Concord,,O-I-CD,unknown,high,review_sliver_overlap,127,2014-05-12,2025-11-04,8,25,70,31860549.0,281951.7610619469,upfit,commercial_upfit,issued,0,False,0,100.0,very_high_activity
CFS-PARCEL-0149728135,149728135,45998437730000,PARADISE ESTATES,SILVER MAPLES MHP,trusted,ultra_high,commercial_large,Concord,,RV,residential,high,review_sliver_overlap,102,2005-02-01,2025-11-25,14,3,12,1034740.0,11126.236559139785,residential_manufactored_home,residential_mobile,closed,0,False,0,100.0,very_high_activity
CFS-PARCEL-0149729262,149729262,45999433330000,CAROLINA VILLAGE,CAROLINA VILLAGE MHP,trusted,ultra_high,commercial_large,Concord,,RV,residential,high,review_sliver_overlap,69,2004-05-01,2025-11-13,14,6,30,259917.0,5096.411764705882,addition_residential,residential_addition,inspections,0,False,0,100.0,very_high_activity
CFS-PARCEL-0149789146,149789146,56102182090000,LILLY CONCORD,CONCORD PARKWAY SOUTH,trusted,ultra_high,extreme_large,Concord,,I-2,unknown,medium,review_sliver_overlap,62,2022-05-12,2025-10-02,4,10,54,775168452.0,12502716.967741935,commercial_new_construction,commercial_upfit,issued,0,False,0,100.0,very_high_activity
CFS-PARCEL-0149783110,149783110,56010135370000,"2A CK LAKEPOINTE CORP CENTER, LLC",GEORGE LILES PARKWAY,trusted,ultra_high,commercial_large,Kannapolis,,CD,unknown,high,review_multi_jurisdiction,61,2008-04-01,2025-11-12,17,9,18,10384365.44,230763.67644444446,other,commercial_sign,issued,0,False,0,100.0,very_high_activity
CFS-PARCEL-0149736835,149736835,46705588120000,THOMAS ALEXANDER RANKIN,WEST CABARRUS,trusted,ultra_high,estate,Concord,,C-2,unknown,high,jurisdiction_code_semantics_review,55,2009-08-01,2025-01-16,14,1,6,3754318.1,101468.05675675676,other,commercial_upfit,closed,0,False,0,100.0,very_high_activity
CFS-PARCEL-0149784413,149784413,56017349760000,THE INTERNATIONAL BUSINESS PARK AT CONCORD,INTERNATIONAL BUSINESS PARK,trusted,ultra_high,commercial_large,Concord,,I-2,unknown,high,jurisdiction_code_semantics_review,49,2006-08-01,2025-08-20,12,8,11,10477711.0,436571.2916666667,upfit,commercial_upfit,inspections,0,False,0,100.0,very_high_activity
CFS-PARCEL-0149727441,149727441,45988876150000,,CHARLOTTE MOTOR SPEEDWAY,review,ultra_high,extreme_large,Concord,,PID,unknown,high,review_multi_jurisdiction,47,2003-11-01,2025-03-14,15,2,6,5557192.0,231549.66666666666,commercial_new_construction,commercial_upfit,closed,47,True,0,100.0,very_high_activity
