activity_year,permit_count,active_parcel_count,unmatched_permit_count,ambiguous_permit_count,active_zoning_jurisdiction_count,source_permit_amount_total,relationship_permit_amount_total,first_permit_date,latest_permit_date
1986,1,1,0,0,1,,,1986-12-01,1986-12-01
1989,1,1,0,0,1,,,1989-09-01,1989-09-01
1991,1,1,0,0,1,,,1991-04-01,1991-04-01
1998,1,1,0,0,1,,,1998-11-01,1998-11-01
1999,1,1,0,0,1,,,1999-05-01,1999-05-01
2000,5,5,0,0,3,134890.0,134890.0,2000-02-22,2000-11-02
2001,11,12,0,1,4,364101.0,367101.0,2001-01-01,2001-12-01
2002,27,28,0,1,5,1007913.0,1607913.0,2002-01-01,2002-12-01
2003,1864,1802,3,63,6,,,2003-01-01,2003-12-01
2004,1979,1955,2,74,6,,,2004-01-01,2004-12-01
2005,862,858,3,24,7,,,2005-01-01,2005-12-01
2006,1396,1371,1,43,7,,,2006-01-01,2006-12-01
2007,3172,3061,3,89,7,,,2007-01-01,2007-12-01
2008,2243,2041,5,80,7,3500.0,3500.0,2008-01-01,2008-12-23
2009,1690,1413,3,59,7,135600.0,165600.0,2009-01-01,2009-12-30
2010,1495,1397,4,60,7,766320.0,766320.0,2010-01-01,2010-12-30
2011,1663,1498,3,69,7,119200.0,119200.0,2011-01-03,2011-12-30
2012,1806,1648,0,94,7,4789685.0,4789685.0,2012-01-03,2012-12-31
2013,2068,1931,7,80,7,10293938.73,16318575.06,2013-01-02,2013-12-31
2014,2787,2445,3,116,7,324242618.57,332771328.52,2014-01-02,2014-12-31
2015,3141,2796,1,136,7,441616148.44,486552629.37,2015-01-02,2015-12-31
2016,3310,2842,6,121,7,582025518.6,623884099.1,2016-01-04,2016-12-30
2017,3382,2991,6,118,7,530550281.17,556915680.87,2017-01-01,2017-12-29
2018,3593,3172,6,93,7,653258263.21,690520272.11,2018-01-02,2018-12-31
2019,3720,3368,13,102,7,458418162.47,477250735.47,2019-01-01,2019-12-31
2020,3821,3577,11,134,7,625487866.29,653090507.34,2020-01-01,2020-12-31
2021,4304,3971,11,196,7,586703187.92,638309049.05,2021-01-04,2021-12-30
2022,4202,3425,23,146,7,906457145.52,922079926.23,2022-01-03,2022-12-30
2023,4044,3496,26,177,7,2383610177.7,2428525936.48,2023-01-01,2023-12-29
2024,4168,3573,25,193,7,1056170382.3,1120519062.54,2024-01-02,2024-12-31
2025,3642,3074,29,158,7,689533200.93,736178590.75,2025-01-02,2025-12-31
,26,24,1,0,4,249555.89,249555.89,,
