zoning_jurisdiction_name,dominant_zoning_general_normalized,dominant_zoning_code_raw,permit_type,permit_count,relationship_row_count,active_parcel_count,unmatched_permit_count,ambiguous_permit_count,total_permit_amount,avg_permit_amount,first_permit_date,latest_permit_date
Concord,unknown,PUD,new_construction,2140,2161,2098,0,21,268953370.88,162706.2134785239,2003-07-01,2025-12-04
Kannapolis,residential,R4,new_construction,1600,1639,1566,0,39,100618682.68,117958.59634232122,2001-08-11,2025-10-29
Concord,residential,RM-2,new_construction,1503,1536,1481,0,32,91103655.0,132418.1031976744,2002-11-16,2025-12-11
Kannapolis,residential,R8,new_construction,1432,1463,1382,0,31,135613440.15,125800.96488868275,2003-04-01,2025-12-31
Concord,residential,RV,new_construction,1429,1480,1419,0,50,74065777.8,115367.25514018691,2002-08-31,2025-12-01
Concord,unknown,RC,new_construction,1419,1462,1347,0,41,121587226.47,133612.33678021978,2001-04-01,2025-12-30
Cabarrus County / Unincorporated,agricultural,AO,new_construction,1372,1411,1310,0,34,282217305.49,317098.0960561798,1998-11-01,2025-12-30
Concord,residential,RV-CD,new_construction,1328,1352,1337,0,25,234201982.64,175038.85100149477,2010-12-30,2025-12-08
Harrisburg,residential,CZ-RH,new_construction,1288,1296,1259,0,8,172053341.0,139089.20048504445,2013-01-17,2025-12-18
Cabarrus County / Unincorporated,residential,CR,new_construction,1250,1296,1224,0,40,198912690.2,231563.0852153667,1991-04-01,2025-12-11
Harrisburg,residential,RM,new_construction,1196,1229,1184,0,33,80731743.43,175503.79006521738,2001-01-01,2025-12-17
Concord,residential,R-CO,new_construction,1123,1144,1121,0,21,28031675.0,95671.2457337884,2003-04-01,2023-10-20
Concord,unknown,C-2,other,1122,1263,480,0,120,82693516.44,86228.90139728885,2000-08-02,2025-12-19
Concord,unknown,C-2,commercial_new_construction,1015,1163,430,0,130,265395281.75,915156.1439655173,2003-04-01,2025-12-08
Cabarrus County / Unincorporated,agricultural,AO,other,983,1025,826,0,35,8440183.97,29408.306515679444,2002-06-01,2025-09-16
Cabarrus County / Unincorporated,residential,LDR,new_construction,929,943,904,0,14,55536931.0,240419.61471861473,2003-01-01,2025-12-17
Concord,residential,RM-2-CU,new_construction,836,851,830,0,12,7943650.0,110328.47222222222,2003-10-01,2025-09-15
Cabarrus County / Unincorporated,residential,LDR,other,799,814,669,0,14,4675806.21,19482.525875,2003-05-01,2025-12-16
Concord,residential,RM-1,new_construction,782,819,776,0,37,70341754.53,156663.15040089088,1986-12-01,2025-12-30
Midland,unknown,SFR,new_construction,752,770,742,0,18,87242962.31,181756.17147916666,2003-04-01,2025-11-25
Concord,unknown,RC-CD,new_construction,751,754,737,0,3,141179080.2,188742.085828877,2002-04-11,2025-12-16
Cabarrus County / Unincorporated,residential,CR,other,726,750,577,0,22,25778049.54,108311.1325210084,2003-05-01,2025-11-18
Cabarrus County / Unincorporated,agricultural,AO,extra_feature,700,728,588,0,23,35245109.74,50712.38811510791,2013-05-20,2025-12-30
Concord,unknown,RC,other,677,714,494,0,19,15388862.34,51989.399797297294,2003-05-01,2025-12-02
Concord,residential,RM-1,other,599,618,491,0,19,9457554.7,43583.20138248848,2003-05-01,2025-10-21
Harrisburg,residential,CZ-RL,new_construction,590,594,554,0,4,113481735.0,203008.47048300537,2010-08-23,2024-09-17
Kannapolis,unknown,PD-TND,new_construction,589,597,578,0,8,85944510.0,176477.43326488708,2003-10-01,2022-07-29
Concord,unknown,RC,remodel,586,620,506,0,28,11426940.57,27668.136973365617,2003-04-01,2025-12-17
Concord,residential,RM-2,other,586,603,501,0,17,4544106.01,20844.522981651375,2003-05-01,2025-07-25
Kannapolis,residential,R4,other,572,584,514,0,11,7790745.13,32193.161694214876,2003-05-01,2025-12-12
Concord,unknown,C-2,upfit,571,631,232,0,55,209662344.09,357785.57011945394,2010-02-05,2025-12-18
Concord,residential,RV,other,532,558,438,0,19,3165036.3,15514.883823529412,1989-09-01,2024-01-02
