ordinal_position,column_name,data_type,udt_name,is_nullable,null_count,non_null_count,null_percentage,distinct_count,role_tags
1,geometry,USER-DEFINED,geometry,YES,0,7712,0.0,,['geometry']
2,objectid,bigint,int8,YES,0,7712,0.0,7712,['likely_identifier']
3,dfirm_id,text,text,YES,0,7712,0.0,6,['likely_identifier']
4,fld_ar_id,text,text,YES,0,7712,0.0,7712,['likely_identifier']
5,study_typ,text,text,YES,0,7712,0.0,3,[]
6,fld_zone,text,text,YES,0,7712,0.0,2,"['candidate_flood_zone_field', 'candidate_floodway_field']"
7,zone_subty,text,text,YES,2546,5166,33.0135,8,"['candidate_flood_zone_field', 'candidate_floodway_field']"
8,sfha_tf,text,text,YES,0,7712,0.0,2,['candidate_flood_zone_field']
9,static_bfe,bigint,int8,YES,0,7712,0.0,1,[]
10,v_datum,text,text,YES,7712,0,100.0,0,[]
11,depth,bigint,int8,YES,0,7712,0.0,1,[]
12,len_unit,text,text,YES,7712,0,100.0,0,[]
13,velocity,bigint,int8,YES,0,7712,0.0,1,[]
14,vel_unit,text,text,YES,7712,0,100.0,0,[]
15,ar_revert,text,text,YES,7712,0,100.0,0,[]
16,ar_subtrv,text,text,YES,7706,6,99.9222,3,[]
17,bfe_revert,bigint,int8,YES,0,7712,0.0,1,[]
18,dep_revert,bigint,int8,YES,0,7712,0.0,1,[]
19,dual_zone,text,text,YES,7712,0,100.0,0,['candidate_flood_zone_field']
20,source_cit,text,text,YES,0,7712,0.0,30,[]
21,shape_starea,double precision,float8,YES,0,7712,0.0,7708,[]
22,shape_stlength,double precision,float8,YES,0,7712,0.0,7708,[]
23,gfid,text,text,YES,0,7712,0.0,6,['likely_identifier']
24,globalid,text,text,YES,0,7712,0.0,7712,['likely_identifier']
25,source_layer,text,text,YES,0,7712,0.0,1,[]
26,source_url,text,text,YES,0,7712,0.0,1,[]
27,ingested_at,timestamp without time zone,timestamp,YES,0,7712,0.0,1,[]
