official_parcel_id,objectid_1,pin14,flood_severity_class,buildability_impact,dominant_flood_zone,flood_zone_codes,floodway_present,sfha_present,moderate_flood_present,parcel_area_acres,flood_constrained_area_acres,floodway_area_acres,sfha_area_acres,percent_parcel_constrained,percent_parcel_floodway,percent_parcel_sfha,flood_review_required,flood_constraint_score,overlay_confidence
CFS-PARCEL-0149721050,149721050,142 016,severe,severe,AE,['AE'],True,True,False,0.0000,0.0000,0.0000,0.0000,100.0000,100.0000,100.0000,True,100.00,medium
CFS-PARCEL-0149721869,149721869,00000,severe,severe,AE,"['AE', 'X']",True,True,True,0.6029,0.6029,0.5018,0.6025,100.0000,83.2418,99.9449,True,100.00,high
CFS-PARCEL-0149727837,149727837,45997306420000,severe,severe,AE,['AE'],True,True,False,0.8745,0.8745,0.6664,0.8745,100.0000,76.2061,100.0000,True,100.00,high
CFS-PARCEL-0149731289,149731289,46718904550000,severe,severe,AE,['AE'],True,True,False,12.2446,12.2446,11.4716,12.2446,100.0000,93.6871,100.0000,True,100.00,high
CFS-PARCEL-0149731483,149731483,46719734030000,severe,severe,AE,['AE'],True,True,False,0.0208,0.0208,0.0141,0.0208,100.0000,67.7479,100.0000,True,100.00,high
CFS-PARCEL-0149731863,149731863,46718772310000,severe,severe,AE,['AE'],True,True,False,2.0701,2.0701,2.0701,2.0701,100.0000,100.0000,100.0000,True,100.00,high
CFS-PARCEL-0149733614,149733614,46801099280000,severe,severe,AE,['AE'],True,True,False,24.9798,24.9798,21.1450,24.9798,100.0000,84.6482,100.0000,True,100.00,high
CFS-PARCEL-0149733888,149733888,46727152030000,severe,severe,AE,['AE'],True,True,False,14.5482,14.5483,11.8128,14.5483,100.0000,81.1978,100.0000,True,100.00,high
CFS-PARCEL-0149734292,149734292,46804925920000,severe,severe,AE,"['AE', 'X']",True,True,True,38.6558,38.6558,29.6241,38.4093,100.0000,76.6358,99.3624,True,100.00,high
CFS-PARCEL-0149734834,149734834,46727233480000,severe,severe,AE,['AE'],True,True,False,11.0881,11.0881,11.0881,11.0881,100.0000,100.0000,100.0000,True,100.00,high
CFS-PARCEL-0149738074,149738074,46718669430000,severe,severe,AE,['AE'],True,True,False,9.5616,9.5616,9.4823,9.5616,100.0000,99.1710,100.0000,True,100.00,high
CFS-PARCEL-0149738075,149738075,46718693490000,severe,severe,AE,['AE'],True,True,False,9.9081,9.9081,9.9081,9.9081,100.0000,100.0000,100.0000,True,100.00,high
CFS-PARCEL-0149738076,149738076,46718693490000,severe,severe,AE,['AE'],True,True,False,9.9081,9.9081,9.9081,9.9081,100.0000,100.0000,100.0000,True,100.00,high
CFS-PARCEL-0149743115,149743115,55054563920000,severe,severe,AE,['AE'],True,True,False,0.1248,0.1248,0.1248,0.1248,100.0000,100.0000,100.0000,True,100.00,high
CFS-PARCEL-0149748906,149748906,55078282550000,severe,severe,AE,['AE'],True,True,False,0.2973,0.2973,0.2973,0.2973,100.0000,100.0000,100.0000,True,100.00,high
CFS-PARCEL-0149750274,149750274,55088114090000,severe,severe,AE,"['AE', 'X']",True,True,True,1.9466,1.9466,1.4844,1.7380,100.0000,76.2521,89.2796,True,100.00,high
CFS-PARCEL-0149750463,149750463,55089142910000,severe,severe,AE,['AE'],True,True,False,0.2106,0.2106,0.1661,0.2106,100.0000,78.8859,100.0000,True,100.00,high
CFS-PARCEL-0149750756,149750756,55089098730000,severe,severe,AE,['AE'],True,True,False,0.5223,0.5223,0.4442,0.5223,100.0000,85.0384,100.0000,True,100.00,high
CFS-PARCEL-0149750857,149750857,55089151690000,severe,severe,AE,['AE'],True,True,False,0.2186,0.2186,0.1846,0.2186,100.0000,84.4451,100.0000,True,100.00,high
CFS-PARCEL-0149751025,149751025,55089078810000,severe,severe,AE,['AE'],True,True,False,0.7587,0.7587,0.7364,0.7587,100.0000,97.0609,100.0000,True,100.00,high
CFS-PARCEL-0149751028,149751028,55089142320000,severe,severe,AE,['AE'],True,True,False,0.2072,0.2072,0.1446,0.2072,100.0000,69.8037,100.0000,True,100.00,high
CFS-PARCEL-0149752957,149752957,55056814810000,severe,severe,AE,['AE'],True,True,False,9.0483,9.0483,9.0483,9.0483,100.0000,100.0000,100.0000,True,100.00,high
CFS-PARCEL-0149754688,149754688,55171989130000,severe,severe,AE,['AE'],True,True,False,0.5007,0.5007,0.5007,0.5007,100.0000,100.0000,100.0000,True,100.00,high
CFS-PARCEL-0149754741,149754741,55171947350000,severe,severe,AE,['AE'],True,True,False,0.9536,0.9536,0.7459,0.9536,100.0000,78.2114,100.0000,True,100.00,high
CFS-PARCEL-0149754742,149754742,55171948470000,severe,severe,AE,['AE'],True,True,False,0.5331,0.5331,0.5331,0.5331,100.0000,100.0000,100.0000,True,100.00,high
CFS-PARCEL-0149754826,149754826,55172909510000,severe,severe,AE,['AE'],True,True,False,1.2271,1.2271,1.2271,1.2271,100.0000,100.0000,100.0000,True,100.00,high
CFS-PARCEL-0149755147,149755147,55171959640000,severe,severe,AE,['AE'],True,True,False,0.2778,0.2778,0.2778,0.2778,100.0000,100.0000,100.0000,True,100.00,high
CFS-PARCEL-0149755148,149755148,55171979140000,severe,severe,AE,['AE'],True,True,False,0.4513,0.4513,0.4513,0.4513,100.0000,100.0000,100.0000,True,100.00,high
CFS-PARCEL-0149755195,149755195,55171989900000,severe,severe,AE,['AE'],True,True,False,0.5445,0.5445,0.5445,0.5445,100.0000,100.0000,100.0000,True,100.00,high
CFS-PARCEL-0149755423,149755423,55171969350000,severe,severe,AE,['AE'],True,True,False,0.4211,0.4211,0.4211,0.4211,100.0000,100.0000,100.0000,True,100.00,high
CFS-PARCEL-0149755725,149755725,55174063690000,severe,severe,AE,['AE'],True,True,False,1.0015,1.0015,0.8859,1.0015,100.0000,88.4621,100.0000,True,100.00,high
CFS-PARCEL-0149755909,149755909,55180087400000,severe,severe,AE,['AE'],True,True,False,0.3764,0.3764,0.3764,0.3764,100.0000,100.0000,100.0000,True,100.00,high
CFS-PARCEL-0149756184,149756184,55180067520000,severe,severe,AE,['AE'],True,True,False,0.4271,0.4271,0.4271,0.4271,100.0000,100.0000,100.0000,True,100.00,high
CFS-PARCEL-0149756185,149756185,55180077500000,severe,severe,AE,['AE'],True,True,False,0.4307,0.4307,0.4307,0.4307,100.0000,100.0000,100.0000,True,100.00,high
CFS-PARCEL-0149756224,149756224,55176125200000,severe,severe,AE,['AE'],True,True,False,0.6655,0.6655,0.4541,0.6655,100.0000,68.2341,100.0000,True,100.00,high
CFS-PARCEL-0149756298,149756298,55180047650000,severe,severe,AE,['AE'],True,True,False,0.5332,0.5332,0.5332,0.5332,100.0000,100.0000,100.0000,True,100.00,high
CFS-PARCEL-0149756299,149756299,55180047650000,severe,severe,AE,['AE'],True,True,False,0.5332,0.5332,0.5332,0.5332,100.0000,100.0000,100.0000,True,100.00,high
CFS-PARCEL-0149756451,149756451,55180057640000,severe,severe,AE,['AE'],True,True,False,0.4458,0.4458,0.4458,0.4458,100.0000,100.0000,100.0000,True,100.00,high
CFS-PARCEL-0149756454,149756454,55180074170000,severe,severe,AE,['AE'],True,True,False,0.9270,0.9270,0.8016,0.9270,100.0000,86.4655,100.0000,True,100.00,high
CFS-PARCEL-0149756455,149756455,55180096870000,severe,severe,AE,['AE'],True,True,False,0.7891,0.7891,0.7891,0.7891,100.0000,100.0000,100.0000,True,100.00,high
CFS-PARCEL-0149756604,149756604,55181026510000,severe,severe,AE,['AE'],True,True,False,1.5756,1.5756,1.5756,1.5756,100.0000,100.0000,100.0000,True,100.00,high
