official_parcel_id,objectid_1,pin14,planning_jurisdiction_name,planning_boundary_type,boundary_name,jurisdiction_overlap_count,dominant_jurisdiction_overlap_pct,total_jurisdiction_overlap_pct,jurisdiction_assignment_confidence,has_multiple_jurisdictions,jurisdiction_join_status,parcel_quality_status,nbh_name,subdiv_name,parcel_area_acres_calc
CFS-PARCEL-0149720369,149720369,132 109,Kannapolis,etj,City of Kannapolis,1,0.0,0.0,low,False,single_boundary_low_confidence,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,2.000694
CFS-PARCEL-0149720805,149720805,142 049,Kannapolis,etj,City of Kannapolis,1,0.0,0.0,low,False,single_boundary_low_confidence,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,139.846602
CFS-PARCEL-0149721018,149721018,142A035,Kannapolis,etj,City of Kannapolis,1,0.0,0.0,low,False,single_boundary_low_confidence,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,0.383854
CFS-PARCEL-0149721147,149721147,142 156,Kannapolis,etj,City of Kannapolis,1,0.0,0.0,low,False,single_boundary_low_confidence,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,0.902445
CFS-PARCEL-0149721171,149721171,143 030,Kannapolis,etj,City of Kannapolis,1,0.0,0.0,low,False,single_boundary_low_confidence,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,3.781882
CFS-PARCEL-0149721458,149721458,132 0130000001,Kannapolis,etj,City of Kannapolis,1,0.0,0.0,low,False,single_boundary_low_confidence,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,69.552437
CFS-PARCEL-0149721571,149721571,140B181,Kannapolis,etj,City of Kannapolis,1,0.0,0.0,low,False,single_boundary_low_confidence,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,0.443945
CFS-PARCEL-0149722667,149722667,143B025,Kannapolis,etj,City of Kannapolis,1,0.0,0.0,low,False,single_boundary_low_confidence,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,0.368103
CFS-PARCEL-0149722818,149722818,145 023,Kannapolis,etj,City of Kannapolis,1,0.0,0.0,low,False,single_boundary_low_confidence,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,55.259337
CFS-PARCEL-0149725560,149725560,244F005,Kannapolis,etj,City of Kannapolis,1,0.0,0.0,low,False,single_boundary_low_confidence,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,1.023978
