hotspot_type,hotspot_name,total_parcels,review_parcels,low_confidence_count,multi_zoning_count,multi_jurisdiction_count,sliver_overlap_count,near_tie_count,no_match_count,jurisdiction_code_semantics_review_count,review_percentage
subdivision,(unknown),33459,11022,358,7038,1697,6072,94,14,6396,32.9418
neighborhood,THE MILLS AT ROCKY RIVER,1007,1007,0,10,9,9,0,0,1007,100.0
neighborhood,ROWAN COUNTY PARCEL,6054,834,113,794,31,665,21,17,71,13.776
subdivision,ROWAN COUNTY PARCEL,6054,834,113,794,31,665,21,17,71,13.776
neighborhood,KELLSWATER BRIDGE,669,669,5,42,0,25,1,0,669,100.0
neighborhood,BROOKWOOD NORTH,930,653,1,147,0,139,0,0,604,70.2151
neighborhood,BOYS CLUB,596,574,3,96,0,91,0,0,567,96.3087
neighborhood,ALLEN MILLS,494,494,0,11,8,7,0,0,494,100.0
subdivision,ALLEN MILLS,494,494,0,11,8,7,0,0,494,100.0
neighborhood,BETHEL ELEMENTARY SCHOOL,660,491,17,238,177,178,4,1,369,74.3939
neighborhood,SOUTHERN CHASE,468,468,0,86,31,64,1,0,468,100.0
neighborhood,LOGAN COMMUNITY SOUTH,444,444,0,67,0,66,0,0,443,100.0
neighborhood,RIVERWALK,546,439,1,98,0,97,0,0,409,80.4029
subdivision,LAUREL PARK,434,434,0,79,0,79,0,0,434,100.0
neighborhood,AFTON VILLAGE,430,430,0,20,0,19,0,0,430,100.0
neighborhood,CENTRAL DRIVE SOUTH,437,424,0,70,0,65,0,0,413,97.0252
neighborhood,LOGAN NORTH,414,414,0,18,0,18,0,0,413,100.0
neighborhood,SOUTH CORBAN AVE,388,388,1,52,0,50,0,0,388,100.0
neighborhood,CANNON RUN,371,371,0,7,4,6,0,0,371,100.0
neighborhood,HWY 601 / 49,349,345,7,250,55,233,2,0,322,98.8539
neighborhood,CONCORD PARKWAY SOUTH,328,327,8,163,7,153,1,0,320,99.6951
neighborhood,SHEFFIELD MANOR,319,319,0,36,0,36,0,0,319,100.0
neighborhood,PIPER LANDING,316,316,0,6,0,4,0,0,316,100.0
subdivision,PIPER LANDING,316,316,0,6,0,4,0,0,316,100.0
subdivision,SHEFFIELD MANOR,316,316,0,35,0,35,0,0,316,100.0
