official_parcel_id,objectid_1,pin14,dominant_zoning_code,dominant_zoning_general,dominant_zoning_label,zoning_overlap_count,dominant_overlap_pct,total_zoning_overlap_pct,zoning_assignment_confidence,has_multiple_zoning,zoning_join_status,parcel_quality_status,parcel_area_acres_calc
CFS-PARCEL-0149735648,149735648,46806363880000,GI-SU,INDUSTRIAL,GI-SU,3,0.0,0.0,low,True,multi_zone_low_confidence,trusted,41.72311
CFS-PARCEL-0149727315,149727315,45986213580000,LI,INDUSTRIAL,LI,2,0.0,0.0,low,True,multi_zone_low_confidence,review,20.937501
CFS-PARCEL-0149727441,149727441,45988876150000,LC-SU,COMMERCIAL,LC-SU,2,0.0,0.0,low,True,multi_zone_low_confidence,review,839.555545
CFS-PARCEL-0149727442,149727442,45988876150000,LC-SU,COMMERCIAL,LC-SU,2,0.0,0.0,low,True,multi_zone_low_confidence,review,839.555545
CFS-PARCEL-0149732798,149732798,46724951030000,AO,AGRICULTURAL,AO,2,0.0,0.0,low,True,multi_zone_low_confidence,trusted,29.603644
CFS-PARCEL-0149739731,149739731,46824023240000,LC,COMMERCIAL,LC,2,0.0,0.0,low,True,multi_zone_low_confidence,review,4.121226
CFS-PARCEL-0149741533,149741533,46913100550000,CR,RESIDENTIAL,CR,2,0.0,0.0,low,True,multi_zone_low_confidence,review,1.853595
CFS-PARCEL-0149759838,149759838,55249820480000,OI,OFFICE,OI,2,0.0,0.0,low,True,multi_zone_low_confidence,review,18.354337
CFS-PARCEL-0149759839,149759839,55249820480000,OI,OFFICE,OI,2,0.0,0.0,low,True,multi_zone_low_confidence,review,18.354337
CFS-PARCEL-0149766446,149766446,55298419710000,OI,OFFICE,OI,2,0.0,0.0,low,True,multi_zone_low_confidence,trusted,12.314528
CFS-PARCEL-0149766719,149766719,55331912910000,CR,RESIDENTIAL,CR,2,0.0,0.0,low,True,multi_zone_low_confidence,trusted,5.762858
CFS-PARCEL-0149768283,149768283,55196201760000,OI,OFFICE,OI,2,0.0,0.0,low,True,multi_zone_low_confidence,trusted,0.52594
CFS-PARCEL-0149773109,149773109,55445057350000,GI,INDUSTRIAL,GI,2,0.0,0.0,low,True,multi_zone_low_confidence,review,22.085306
CFS-PARCEL-0149773766,149773766,55449147090000,GI,INDUSTRIAL,GI,2,0.0,0.0,low,True,multi_zone_low_confidence,review,7.390242
CFS-PARCEL-0149774542,149774542,55449200750000,GI,INDUSTRIAL,GI,2,0.0,0.0,low,True,multi_zone_low_confidence,review,4.299023
CFS-PARCEL-0149779145,149779145,55384101920000,LDR,RESIDENTIAL,LDR,2,0.0,0.0,low,True,multi_zone_low_confidence,trusted,15.94315
CFS-PARCEL-0149821282,149821282,56347012520000,LC,COMMERCIAL,LC,2,0.0,1e-06,low,True,multi_zone_low_confidence,review,3.243577
CFS-PARCEL-0149821283,149821283,56347012520000,LC,COMMERCIAL,LC,2,0.0,1e-06,low,True,multi_zone_low_confidence,review,3.243577
CFS-PARCEL-0149721154,149721154,00000,LDR,RESIDENTIAL,LDR,1,0.0,0.0,low,False,single_zone_low_confidence,review,3.838252
CFS-PARCEL-0149722818,149722818,145 023,LC,COMMERCIAL,LC,1,0.0,0.0,low,False,single_zone_low_confidence,review,55.259337
CFS-PARCEL-0149726011,149726011,45890831260000,LDR,RESIDENTIAL,LDR,1,0.0,0.0,low,False,single_zone_low_confidence,trusted,0.537192
CFS-PARCEL-0149726630,149726630,45897139520000,LI,INDUSTRIAL,LI,1,0.0,0.0,low,False,single_zone_low_confidence,trusted,1.505689
CFS-PARCEL-0149727066,149727066,45983649540000,GC,COMMERCIAL,GC,1,0.0,0.0,low,False,single_zone_low_confidence,trusted,2.058786
CFS-PARCEL-0149727073,149727073,45897191440000,LI,INDUSTRIAL,LI,1,0.0,0.0,low,False,single_zone_low_confidence,review,4.072694
CFS-PARCEL-0149727086,149727086,45985492450000,LI,INDUSTRIAL,LI,1,0.0,0.0,low,False,single_zone_low_confidence,review,1.034788
CFS-PARCEL-0149727101,149727101,45983838130000,GC,COMMERCIAL,GC,1,0.0,0.0,low,False,single_zone_low_confidence,trusted,27.822023
CFS-PARCEL-0149727143,149727143,45988198880000,LI,INDUSTRIAL,LI,1,0.0,0.0,low,False,single_zone_low_confidence,review,30.474268
CFS-PARCEL-0149727160,149727160,45988198880000,LI,INDUSTRIAL,LI,1,0.0,0.0,low,False,single_zone_low_confidence,review,30.474268
CFS-PARCEL-0149727310,149727310,45984633870000,GC,COMMERCIAL,GC,1,0.0,0.0,low,False,single_zone_low_confidence,review,15.644648
CFS-PARCEL-0149727312,149727312,45985657920000,GC,COMMERCIAL,GC,1,0.0,0.0,low,False,single_zone_low_confidence,review,0.815021
CFS-PARCEL-0149727313,149727313,45985657920000,GC,COMMERCIAL,GC,1,0.0,0.0,low,False,single_zone_low_confidence,review,0.815021
CFS-PARCEL-0149727314,149727314,45985657920000,GC,COMMERCIAL,GC,1,0.0,0.0,low,False,single_zone_low_confidence,review,0.815021
CFS-PARCEL-0149727354,149727354,45986248360000,LI,INDUSTRIAL,LI,1,0.0,0.0,low,False,single_zone_low_confidence,review,30.588804
CFS-PARCEL-0149727355,149727355,45986248360000,LI,INDUSTRIAL,LI,1,0.0,0.0,low,False,single_zone_low_confidence,review,30.588804
CFS-PARCEL-0149727402,149727402,45994015980000,LC-SU,COMMERCIAL,LC-SU,1,0.0,0.0,low,False,single_zone_low_confidence,review,20.086098
CFS-PARCEL-0149727410,149727410,45982784460000,GC,COMMERCIAL,GC,1,0.0,0.0,low,False,single_zone_low_confidence,trusted,21.092804
CFS-PARCEL-0149727430,149727430,45983967290000,LC-SU,COMMERCIAL,LC-SU,1,0.0,0.0,low,False,single_zone_low_confidence,trusted,7.473099
CFS-PARCEL-0149727431,149727431,45985466420000,LI,INDUSTRIAL,LI,1,0.0,0.0,low,False,single_zone_low_confidence,review,0.991848
CFS-PARCEL-0149727432,149727432,45985468420000,LI,INDUSTRIAL,LI,1,0.0,0.0,low,False,single_zone_low_confidence,review,0.913181
CFS-PARCEL-0149727435,149727435,45985686350000,GC,COMMERCIAL,GC,1,0.0,0.0,low,False,single_zone_low_confidence,review,1.211145
CFS-PARCEL-0149727594,149727594,45985448070000,LI,INDUSTRIAL,LI,1,0.0,0.0,low,False,single_zone_low_confidence,review,4.865015
CFS-PARCEL-0149728476,149728476,45985698410000,GC,COMMERCIAL,GC,1,0.0,0.0,low,False,single_zone_low_confidence,review,0.790842
CFS-PARCEL-0149728477,149728477,45985698410000,GC,COMMERCIAL,GC,1,0.0,0.0,low,False,single_zone_low_confidence,review,0.790842
CFS-PARCEL-0149728511,149728511,46705478360000,OI,OFFICE,OI,1,0.0,0.0,low,False,single_zone_low_confidence,trusted,0.195758
CFS-PARCEL-0149728529,149728529,46705571740000,OI,OFFICE,OI,1,0.0,0.0,low,False,single_zone_low_confidence,trusted,0.345072
CFS-PARCEL-0149728612,149728612,46705475010000,OI,OFFICE,OI,1,0.0,0.0,low,False,single_zone_low_confidence,trusted,0.195755
CFS-PARCEL-0149728629,149728629,46705475070000,OI,OFFICE,OI,1,0.0,0.0,low,False,single_zone_low_confidence,trusted,0.195763
CFS-PARCEL-0149728739,149728739,46705464960000,OI,OFFICE,OI,1,0.0,0.0,low,False,single_zone_low_confidence,trusted,0.195757
CFS-PARCEL-0149728920,149728920,46703589660000,OI,OFFICE,OI,1,0.0,0.0,low,False,single_zone_low_confidence,review,2.012628
CFS-PARCEL-0149728985,149728985,46706884640000,LDR,RESIDENTIAL,LDR,1,0.0,0.0,low,False,single_zone_low_confidence,review,14.421667
CFS-PARCEL-0149729094,149729094,46705463840000,OI,OFFICE,OI,1,0.0,0.0,low,False,single_zone_low_confidence,trusted,0.233671
CFS-PARCEL-0149729095,149729095,46705464900000,OI,OFFICE,OI,1,0.0,0.0,low,False,single_zone_low_confidence,trusted,0.218004
CFS-PARCEL-0149729492,149729492,46705476180000,OI,OFFICE,OI,1,0.0,0.0,low,False,single_zone_low_confidence,trusted,0.235797
CFS-PARCEL-0149729513,149729513,46704601530000,OI,OFFICE,OI,1,0.0,0.0,low,False,single_zone_low_confidence,review,8.234782
CFS-PARCEL-0149729538,149729538,46705478210000,OI,OFFICE,OI,1,0.0,0.0,low,False,single_zone_low_confidence,trusted,0.195759
CFS-PARCEL-0149729541,149729541,46705570430000,OI,OFFICE,OI,1,0.0,0.0,low,False,single_zone_low_confidence,trusted,0.203432
CFS-PARCEL-0149729586,149729586,46705477250000,OI,OFFICE,OI,1,0.0,0.0,low,False,single_zone_low_confidence,trusted,0.235799
CFS-PARCEL-0149729587,149729587,46705479470000,OI,OFFICE,OI,1,0.0,0.0,low,False,single_zone_low_confidence,trusted,0.200486
CFS-PARCEL-0149729918,149729918,46706409870000,OI,OFFICE,OI,1,0.0,0.0,low,False,single_zone_low_confidence,trusted,1.136305
CFS-PARCEL-0149730520,149730520,46717271220000,LDR,RESIDENTIAL,LDR,1,0.0,0.0,low,False,single_zone_low_confidence,trusted,0.232455
CFS-PARCEL-0149730592,149730592,46716603550000,LDR,RESIDENTIAL,LDR,1,0.0,0.0,low,False,single_zone_low_confidence,trusted,2.386925
CFS-PARCEL-0149731144,149731144,46717394910000,LDR,RESIDENTIAL,LDR,1,0.0,0.0,low,False,single_zone_low_confidence,trusted,0.271224
CFS-PARCEL-0149732137,149732137,46724221600000,CR,RESIDENTIAL,CR,1,0.0,0.0,low,False,single_zone_low_confidence,review,0.346612
CFS-PARCEL-0149732323,149732323,46718423380000,LDR,RESIDENTIAL,LDR,1,0.0,0.0,low,False,single_zone_low_confidence,trusted,0.124387
CFS-PARCEL-0149732946,149732946,46724035590000,OI,OFFICE,OI,1,0.0,0.0,low,False,single_zone_low_confidence,trusted,2.0377
CFS-PARCEL-0149732962,149732962,46734445370000,AO,AGRICULTURAL,AO,1,0.0,0.0,low,False,single_zone_low_confidence,review,29.748157
CFS-PARCEL-0149733929,149733929,46802383270000,LDR,RESIDENTIAL,LDR,1,0.0,0.0,low,False,single_zone_low_confidence,review,26.128488
CFS-PARCEL-0149733962,149733962,46719932610000,LDR,RESIDENTIAL,LDR,1,0.0,0.0,low,False,single_zone_low_confidence,trusted,0.425503
CFS-PARCEL-0149734495,149734495,46725053640000,CR,RESIDENTIAL,CR,1,0.0,0.0,low,False,single_zone_low_confidence,review,0.998339
CFS-PARCEL-0149734948,149734948,46803431870000,LDR,,LDR,1,0.0,0.0,low,False,single_zone_low_confidence,review,5.396964
CFS-PARCEL-0149735185,149735185,46801458550000,LDR,RESIDENTIAL,LDR,1,0.0,0.0,low,False,single_zone_low_confidence,trusted,31.76059
CFS-PARCEL-0149735196,149735196,46803925520000,LDR,RESIDENTIAL,LDR,1,0.0,0.0,low,False,single_zone_low_confidence,trusted,10.319358
CFS-PARCEL-0149735458,149735458,46804325100000,LDR,RESIDENTIAL,LDR,1,0.0,0.0,low,False,single_zone_low_confidence,review,0.347402
CFS-PARCEL-0149735813,149735813,46803475150000,LDR,,LDR,1,0.0,0.0,low,False,single_zone_low_confidence,review,0.620519
CFS-PARCEL-0149735819,149735819,46807566840000,GI-SU,INDUSTRIAL,GI-SU,1,0.0,0.0,low,False,single_zone_low_confidence,trusted,29.185393
CFS-PARCEL-0149735896,149735896,46806495590000,GI-SU,INDUSTRIAL,GI-SU,1,0.0,0.0,low,False,single_zone_low_confidence,trusted,20.021023
CFS-PARCEL-0149735918,149735918,46807003990000,GI-SU,INDUSTRIAL,GI-SU,1,0.0,0.0,low,False,single_zone_low_confidence,trusted,15.041411
CFS-PARCEL-0149736027,149736027,45988311990000,LI,INDUSTRIAL,LI,1,0.0,0.0,low,False,single_zone_low_confidence,review,16.337413
CFS-PARCEL-0149736031,149736031,45989304760000,LI,INDUSTRIAL,LI,1,0.0,0.0,low,False,single_zone_low_confidence,review,17.945274
CFS-PARCEL-0149736032,149736032,45989304760000,LI,INDUSTRIAL,LI,1,0.0,0.0,low,False,single_zone_low_confidence,review,17.945274
CFS-PARCEL-0149736047,149736047,45993083040000,LC-SU,COMMERCIAL,LC-SU,1,0.0,0.0,low,False,single_zone_low_confidence,trusted,2.790441
CFS-PARCEL-0149736071,149736071,46809581050000,LDR,RESIDENTIAL,LDR,1,0.0,0.0,low,False,single_zone_low_confidence,trusted,1.165807
CFS-PARCEL-0149736209,149736209,46809561160000,LDR,RESIDENTIAL,LDR,1,0.0,0.0,low,False,single_zone_low_confidence,trusted,1.010111
CFS-PARCEL-0149736343,149736343,46808151590000,LI,INDUSTRIAL,LI,1,0.0,0.0,low,False,single_zone_low_confidence,trusted,40.862044
CFS-PARCEL-0149736403,149736403,46809851420000,LI-SU,INDUSTRIAL,LI-SU,1,0.0,0.0,low,False,single_zone_low_confidence,trusted,3.244534
