official_parcel_id,objectid_1,pin14,parcel_quality_status,nbh_name,subdiv_name,zoning_jurisdiction_name,planning_jurisdiction_name,planning_boundary_type,dominant_zoning_code_raw,dominant_zoning_general_normalized,dominant_zoning_label_normalized,zoning_overlap_count,zoning_jurisdiction_overlap_count,dominant_overlap_pct,total_zoning_overlap_pct,second_zoning_jurisdiction_name,second_zoning_code_raw,second_overlap_pct,top_two_overlap_pct_gap,zoning_assignment_confidence,zoning_join_status,has_multiple_zoning,has_multiple_zoning_jurisdictions,tiny_sliver_overlap_count,parcel_area_acres_calc
CFS-PARCEL-0149721154,149721154,00000,review,UNKNOWN NBH,,Cabarrus County / Unincorporated,,,LDR,residential,LDR,2,2,0.0,1e-06,Concord,RM-2,0.0,0.0,low,multi_jurisdiction_low_confidence,True,True,2,3.838252
CFS-PARCEL-0149786576,149786576,55641866940000,trusted,PINE BLUFF,MEADOW CREEK BUSINESS PARK,Midland,,,AG,agricultural,AG,2,1,0.0,0.0,Midland,SFR,0.0,0.0,low,multi_zone_low_confidence,True,False,2,0.333193
CFS-PARCEL-0149728920,149728920,46703589660000,review,POPLAR TENT WEST,,Cabarrus County / Unincorporated,,,OI,office,OI,1,1,0.0,0.0,,,,,low,single_zone_low_confidence,False,False,1,2.012628
CFS-PARCEL-0149729513,149729513,46704601530000,review,POPLAR TENT WEST,,Cabarrus County / Unincorporated,,,OI,office,OI,1,1,0.0,0.0,,,,,low,single_zone_low_confidence,False,False,1,8.234782
CFS-PARCEL-0149776628,149776628,55520518500000,review,UNION COUNTY,NO SUBDIVISION,Cabarrus County / Unincorporated,,,CR,residential,CR,1,1,0.0,0.0,,,,,low,single_zone_low_confidence,False,False,1,0.255449
CFS-PARCEL-0149720626,149720626,140B077,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,Kannapolis,,,R8,residential,R8,1,1,1e-06,1e-06,,,,,low,single_zone_low_confidence,False,False,1,0.459727
CFS-PARCEL-0149720633,149720633,140B184,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,Kannapolis,Kannapolis,etj,R4,residential,R4,1,1,1e-06,1e-06,,,,,low,single_zone_low_confidence,False,False,1,0.770279
CFS-PARCEL-0149725469,149725469,162 105,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,Kannapolis,,,R8,residential,R8,1,1,1e-06,1e-06,,,,,low,single_zone_low_confidence,False,False,1,0.339819
CFS-PARCEL-0149722189,149722189,147 017,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,Kannapolis,,,PD,agricultural,PD,1,1,2e-06,2e-06,,,,,low,single_zone_low_confidence,False,False,1,0.865235
CFS-PARCEL-0149723693,149723693,162 014,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,Kannapolis,,,R8,residential,R8,1,1,2e-06,2e-06,,,,,low,single_zone_low_confidence,False,False,1,0.740059
CFS-PARCEL-0149725855,149725855,162 018,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,Kannapolis,,,R8,residential,R8,1,1,2e-06,2e-06,,,,,low,single_zone_low_confidence,False,False,1,0.256857
CFS-PARCEL-0149720370,149720370,132C0620000002,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,Kannapolis,,,PD,residential,PD,2,1,4e-06,5e-06,Kannapolis,PD,0.0,4e-06,low,multi_zone_low_confidence,True,False,2,0.466565
CFS-PARCEL-0149729869,149729869,46706383440000,review,HADDINGTON VILLAGE,HIGHLAND CREEK,Concord,,,RV-CD,residential,RV-CD,2,1,5e-06,7e-06,Concord,R-CO,3e-06,2e-06,low,multi_zone_low_confidence,True,False,2,0.322548
CFS-PARCEL-0149720720,149720720,140B182,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,Kannapolis,Kannapolis,etj,R8,residential,R8,2,1,6e-06,8e-06,Kannapolis,R4,2e-06,4e-06,low,multi_zone_low_confidence,True,False,2,0.907665
CFS-PARCEL-0149720550,149720550,132C060,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,Kannapolis,,,PD,residential,PD,1,1,8e-06,8e-06,,,,,low,single_zone_low_confidence,False,False,1,0.72513
CFS-PARCEL-0149721459,149721459,132C059,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,Kannapolis,,,PD,residential,PD,1,1,9e-06,9e-06,,,,,low,single_zone_low_confidence,False,False,1,0.631084
CFS-PARCEL-0149725468,149725468,162 104,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,Kannapolis,,,R8,residential,R8,1,1,1e-05,1e-05,,,,,low,single_zone_low_confidence,False,False,1,0.349315
CFS-PARCEL-0149720781,149720781,132 103,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,Kannapolis,,,PD,unknown,PD,1,1,1.1e-05,1.1e-05,,,,,low,single_zone_low_confidence,False,False,1,1.002992
CFS-PARCEL-0149720783,149720783,132C0610000002,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,Kannapolis,,,PD,residential,PD,1,1,1.2e-05,1.2e-05,,,,,low,single_zone_low_confidence,False,False,1,0.524413
CFS-PARCEL-0149720838,149720838,140B1600000002,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,Kannapolis,,,R8,residential,R8,1,1,1.2e-05,1.2e-05,,,,,low,single_zone_low_confidence,False,False,1,0.232617
CFS-PARCEL-0149720549,149720549,132C058,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,Kannapolis,,,PD,residential,PD,3,1,1.3e-05,1.6e-05,Kannapolis,PD,3e-06,1.1e-05,low,multi_zone_low_confidence,True,False,3,0.627432
CFS-PARCEL-0149803034,149803034,56148095330000,review,A L  BROWN HIGH SCHOOL,,Kannapolis,,,R8,residential,R8,2,1,1.6e-05,2.6e-05,Kannapolis,R4,1e-05,6e-06,low,multi_zone_low_confidence,True,False,2,0.32781
CFS-PARCEL-0149720946,149720946,141 088,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,Kannapolis,,,PD,residential,PD,1,1,1.7e-05,1.7e-05,,,,,low,single_zone_low_confidence,False,False,1,0.183711
CFS-PARCEL-0149722715,149722715,156 355,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,Kannapolis,,,R8,residential,R8,1,1,1.7e-05,1.7e-05,,,,,low,single_zone_low_confidence,False,False,1,0.35499
CFS-PARCEL-0149815826,149815826,56236047460000,trusted,FORRESTBROOK,FOREST BROOK,Kannapolis,,,R1,residential,R1,1,1,1.8e-05,1.8e-05,,,,,low,single_zone_low_confidence,False,False,1,0.253563
CFS-PARCEL-0149799192,149799192,56135257250000,trusted,MIDWAY WEST,FW GLASS ESTATE,Kannapolis,,,R4,residential,R4,1,1,2e-05,2e-05,,,,,low,single_zone_low_confidence,False,False,1,0.349251
CFS-PARCEL-0149721075,149721075,145A154,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,Kannapolis,,,R4,residential,R4,1,1,2.1e-05,2.1e-05,,,,,low,single_zone_low_confidence,False,False,1,0.069072
CFS-PARCEL-0149721167,149721167,10000000000,review,UNOPENED ROW,,Kannapolis,,,R4,residential,R4,2,1,2.2e-05,2.2e-05,Kannapolis,R4,0.0,2.2e-05,low,multi_zone_low_confidence,True,False,2,0.082698
CFS-PARCEL-0149786242,149786242,56027292760000,review,NEW HAVEN PARK,NO SUBDIVISION,Kannapolis,,,R4,residential,R4,1,1,2.3e-05,2.3e-05,,,,,low,single_zone_low_confidence,False,False,1,0.286883
CFS-PARCEL-0149721856,149721856,00000,review,UNKNOWN NBH,,Kannapolis,,,O-I,office,O-I,1,1,3.5e-05,3.5e-05,,,,,low,single_zone_low_confidence,False,False,1,0.575255
CFS-PARCEL-0149830004,149830004,NCR NCR,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,Kannapolis,,,R8,residential,R8,2,1,4.3e-05,5.1e-05,Kannapolis,R8,8e-06,3.4e-05,low,multi_zone_low_confidence,True,False,2,0.705467
CFS-PARCEL-0149720905,149720905,10000000000,review,UNOPENED ROW,,Kannapolis,,,R8,residential,R8,1,1,4.6e-05,4.6e-05,,,,,low,single_zone_low_confidence,False,False,1,0.03641
CFS-PARCEL-0149721698,149721698,145A203,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,Kannapolis,,,R4,residential,R4,1,1,4.7e-05,4.7e-05,,,,,low,single_zone_low_confidence,False,False,1,0.022961
CFS-PARCEL-0149788277,149788277,56039116190000,review,BETHPAGE RD AREA,,Kannapolis,,,R4,residential,R4,1,1,5.4e-05,5.4e-05,,,,,low,single_zone_low_confidence,False,False,1,0.445865
CFS-PARCEL-0149813427,149813427,56231838930000,review,ST JOSEPH,,Kannapolis,,,R4,residential,R4,1,1,5.8e-05,5.8e-05,,,,,low,single_zone_low_confidence,False,False,1,0.16261
CFS-PARCEL-0149800390,149800390,56138572500000,review,NORTH 29A,,Kannapolis,,,GC,commercial,GC,3,1,6.8e-05,0.000108,Kannapolis,MU-N,3.4e-05,3.4e-05,low,multi_zone_low_confidence,True,False,3,0.058762
CFS-PARCEL-0149795626,149795626,56126700960000,trusted,BRIARCLIFF,BRIARCLIFF,Kannapolis,,,R4,residential,R4,2,1,7.9e-05,8.6e-05,Kannapolis,R4,6e-06,7.3e-05,low,multi_zone_low_confidence,True,False,2,0.114682
CFS-PARCEL-0149721868,149721868,00000,review,UNKNOWN NBH,,Kannapolis,,,R4,residential,R4,1,1,8.4e-05,8.4e-05,,,,,low,single_zone_low_confidence,False,False,1,0.107437
CFS-PARCEL-0149801149,149801149,56137642070000,review,CAR TOWN,,Kannapolis,,,R8,residential,R8,2,1,8.9e-05,0.000103,Kannapolis,O-I,1.4e-05,7.5e-05,low,multi_zone_low_confidence,True,False,2,0.070134
CFS-PARCEL-0149795114,149795114,56127322760000,review,WINECOFF SCHOOL,,Kannapolis,,,R4,residential,R4,2,1,9e-05,9.7e-05,Kannapolis,O-I,7e-06,8.3e-05,low,multi_zone_low_confidence,True,False,2,0.13968
