official_parcel_id,objectid_1,pin14,parcel_quality_status,nbh_name,subdiv_name,zoning_jurisdiction_name,planning_jurisdiction_name,dominant_zoning_code_raw,dominant_zoning_general_normalized,zoning_overlap_count,zoning_jurisdiction_overlap_count,dominant_overlap_pct,second_zoning_jurisdiction_name,second_zoning_code_raw,second_overlap_pct,top_two_overlap_pct_gap,zoning_assignment_confidence,zoning_join_status,municipal_zoning_dominates_county_overlap,has_nearly_equal_overlap_split,tiny_sliver_overlap_count,parcel_area_acres_calc
CFS-PARCEL-0149721154,149721154,00000,review,UNKNOWN NBH,,Cabarrus County / Unincorporated,,LDR,residential,2,2,0.0,Concord,RM-2,0.0,0.0,low,multi_jurisdiction_low_confidence,False,True,2,3.838252
CFS-PARCEL-0149821361,149821361,56334725410000,review,I-85 AT LANE STREET,,Kannapolis,,LI,industrial,3,2,0.362168,Kannapolis,LI,0.362168,0.0,low,multi_jurisdiction_low_confidence,True,True,0,4.111638
CFS-PARCEL-0149756517,149756517,55180642630000,review,ROBERTA MILLS,,Cabarrus County / Unincorporated,,MDR,residential,3,2,0.999992,Concord,,0.999992,0.0,high,multi_jurisdiction_assigned,False,True,1,0.360726
CFS-PARCEL-0149725155,149725155,249E040,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,Cabarrus County / Unincorporated,Kannapolis,LI,industrial,2,2,1.0,Kannapolis,R4,1.0,0.0,high,multi_jurisdiction_assigned,False,True,0,0.277036
CFS-PARCEL-0149726648,149726648,45895627620000,trusted,CONCORD MILLS,BONDS PROPERTY (REVISED TR 1),Cabarrus County / Unincorporated,,LI,industrial,5,2,1.0,Concord,,1.0,0.0,high,multi_jurisdiction_assigned,False,True,3,5.878691
CFS-PARCEL-0149741316,149741316,46914200390000,review,POPLAR TENT WEST,,Cabarrus County / Unincorporated,,CR,residential,2,2,1.0,Concord,I-2,1.0,0.0,high,multi_jurisdiction_assigned,False,True,0,5.347136
CFS-PARCEL-0149741317,149741317,46914200390000,review,POPLAR TENT WEST,,Cabarrus County / Unincorporated,,CR,residential,2,2,1.0,Concord,I-2,1.0,0.0,high,multi_jurisdiction_assigned,False,True,0,5.347136
CFS-PARCEL-0149741477,149741477,46914129980000,review,POPLAR TENT WEST,,Concord,,I-2,unknown,2,2,1.0,Cabarrus County / Unincorporated,CR,1.0,0.0,high,multi_jurisdiction_assigned,True,True,0,3.157609
CFS-PARCEL-0149741478,149741478,46914129980000,review,POPLAR TENT WEST,,Concord,,I-2,unknown,2,2,1.0,Cabarrus County / Unincorporated,CR,1.0,0.0,high,multi_jurisdiction_assigned,True,True,0,3.157609
CFS-PARCEL-0149744491,149744491,55061045860000,review,MECKLENBURG COUNTY,NO SUBDIVISION,Cabarrus County / Unincorporated,,LDR,residential,2,2,1.0,Harrisburg,CZ-RH,1.0,0.0,high,multi_jurisdiction_assigned,False,True,0,0.032498
CFS-PARCEL-0149751292,149751292,55089588930000,review,ROBERTA MILLS,,Cabarrus County / Unincorporated,,MDR,residential,3,2,1.0,Concord,,1.0,0.0,high,multi_jurisdiction_assigned,False,True,1,1.361796
CFS-PARCEL-0149758332,149758332,55188652040000,review,STOUGH ROAD,,Cabarrus County / Unincorporated,,LI,industrial,2,2,1.0,Concord,I-1,1.0,0.0,high,multi_jurisdiction_assigned,False,True,0,1.956159
CFS-PARCEL-0149766269,149766269,55298587250000,review,HWY 601 / 49,,Concord,,I-2,unknown,5,2,1.0,Cabarrus County / Unincorporated,GI,1.0,0.0,high,multi_jurisdiction_assigned,True,True,3,5.134649
CFS-PARCEL-0149788744,149788744,56044194530000,trusted,NORTH PRINCETON,NORTH PRINCETON,Kannapolis,,R4,residential,2,2,1.0,Cabarrus County / Unincorporated,LDR,1.0,0.0,high,multi_jurisdiction_assigned,False,True,0,0.963544
CFS-PARCEL-0149796743,149796743,56048004480000,trusted,RAINBOW DR,RANDALL WAYNE SHEETS,Cabarrus County / Unincorporated,,LDR,residential,3,2,1.0,Kannapolis,R8,1.0,0.0,high,multi_jurisdiction_assigned,False,True,1,1.006426
CFS-PARCEL-0149756055,149756055,55180628550000,review,ROBERTA MILLS,,Cabarrus County / Unincorporated,,MDR,residential,3,2,0.999997,Concord,,0.999996,1e-06,high,multi_jurisdiction_assigned,False,True,1,1.115272
CFS-PARCEL-0149766334,149766334,55180638720000,review,ROBERTA MILLS,,Cabarrus County / Unincorporated,,MDR,residential,3,2,0.999997,Concord,,0.999996,1e-06,high,multi_jurisdiction_assigned,False,True,1,0.569247
CFS-PARCEL-0149725704,149725704,249E076,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,Cabarrus County / Unincorporated,Kannapolis,LI,industrial,2,2,1.0,Kannapolis,R4,0.999998,2e-06,high,multi_jurisdiction_assigned,False,True,0,0.111897
CFS-PARCEL-0149725701,149725701,249E037,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,Cabarrus County / Unincorporated,Kannapolis,LI,industrial,2,2,1.0,Kannapolis,R4,0.999995,5e-06,high,multi_jurisdiction_assigned,False,True,0,0.128603
CFS-PARCEL-0149772818,149772818,55288775660000,review,CENTRAL CABARRUS HIGH SCHOOL,,Concord,,RM-1,residential,2,2,1.0,Cabarrus County / Unincorporated,LDR,0.999954,4.6e-05,high,multi_jurisdiction_assigned,True,True,0,2.401008
CFS-PARCEL-0149751293,149751293,55089599760000,review,ROBERTA MILLS,,Cabarrus County / Unincorporated,,MDR,residential,6,2,0.999998,Concord,,0.999927,7.1e-05,high,multi_jurisdiction_assigned,False,True,4,15.111381
