official_parcel_id,objectid_1,pin14,parcel_quality_status,nbh_name,subdiv_name,planning_jurisdiction_name,planning_boundary_type,parcel_area_acres_calc,zoning_join_status
CFS-PARCEL-0149766796,149766796,55331731350000,review,BETHEL ELEMENTARY SCHOOL,,,,13.513633,no_match
CFS-PARCEL-0149721104,149721104,00000,review,UNKNOWN NBH,,,,4.984234,no_match
CFS-PARCEL-0149827223,149827223,56346138130000,review,NEW GILEAD,NO SUBDIVISION,,,3.127669,no_match
CFS-PARCEL-0149720645,149720645,132 0950000002,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,,,2.975553,no_match
CFS-PARCEL-0149720863,149720863,00000,review,UNKNOWN NBH,,,,2.152447,no_match
CFS-PARCEL-0149720369,149720369,132 109,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,Kannapolis,etj,2.000694,no_match
CFS-PARCEL-0149720828,149720828,132 114,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,,,1.726147,no_match
CFS-PARCEL-0149827539,149827539,56711119170000,review,MT PLEASANT OUTSIDE,,Mt. Pleasant,etj,1.00102,no_match
CFS-PARCEL-0149749958,149749958,46847440900000,review,ROWAN COUNTY,,,,0.820335,no_match
CFS-PARCEL-0149724414,149724414,156 073,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,,,0.684715,no_match
CFS-PARCEL-0149728689,149728689,46704611900000,review,POPLAR TENT WEST,,,,0.641988,no_match
CFS-PARCEL-0149725363,149725363,162 008,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,,,0.5447,no_match
CFS-PARCEL-0149720859,149720859,140B122,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,,,0.511625,no_match
CFS-PARCEL-0149728458,149728458,46704625430000,review,POPLAR TENT WEST,,,,0.454031,no_match
CFS-PARCEL-0149728459,149728459,46704625430000,review,POPLAR TENT WEST,,,,0.454031,no_match
CFS-PARCEL-0149722226,149722226,140B188,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,,,0.442522,no_match
CFS-PARCEL-0149724417,149724417,156 11102,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,,,0.395325,no_match
CFS-PARCEL-0149741173,149741173,46847430230000,review,ROWAN COUNTY,,,,0.387322,no_match
CFS-PARCEL-0149811100,149811100,56221906250000,review,SOUTH CANNON BLVD,,,,0.331342,no_match
CFS-PARCEL-0149725364,149725364,162 01502,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,,,0.293147,no_match
CFS-PARCEL-0149724881,149724881,156 226,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,,,0.269625,no_match
CFS-PARCEL-0149724392,149724392,156 108,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,,,0.260422,no_match
CFS-PARCEL-0149722490,149722490,156 107,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,,,0.251097,no_match
CFS-PARCEL-0149723769,149723769,156 076,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,,,0.245414,no_match
CFS-PARCEL-0149720853,149720853,140A131,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,Kannapolis,etj,0.239104,no_match
CFS-PARCEL-0149812513,149812513,56230316180000,review,NORTH CANNON BLVD,,,,0.16994,no_match
CFS-PARCEL-0149724880,149724880,156 225,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,,,0.150583,no_match
CFS-PARCEL-0149723987,149723987,156 104,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,,,0.078411,no_match
CFS-PARCEL-0149728460,149728460,46704635620000,review,POPLAR TENT WEST,,,,0.062619,no_match
CFS-PARCEL-0149729515,149729515,46704635420000,review,POPLAR TENT WEST,,,,0.058754,no_match
CFS-PARCEL-0149724815,149724815,156 091,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,,,0.058381,no_match
CFS-PARCEL-0149794265,149794265,56126180280000,review,SOUTH 29A,,,,0.016092,no_match
CFS-PARCEL-0149768619,149768619,55376943650000,review,BOSTWOOD ESTATES,BOSTWOOD ESTATES,,,1.6e-05,no_match
