zoning_jurisdiction_name,dominant_zoning_code_raw,dominant_zoning_general_normalized,dominant_zoning_label_normalized,parcel_count,multiple_zoning_count,multiple_zoning_jurisdiction_count,low_confidence_count,no_match_count,municipal_dominates_county_count,nearly_equal_split_count,tiny_sliver_count,avg_dominant_overlap_pct,min_dominant_overlap_pct,max_dominant_overlap_pct
Kannapolis,R4,residential,R4,10874,1141,104,84,0,93,18,889,0.991045,1e-06,1.0
Cabarrus County / Unincorporated,AO,agricultural,AO,10014,472,219,42,0,0,2,336,0.997075,0.001956,1.0
Kannapolis,R8,residential,R8,8739,812,63,75,0,62,23,583,0.990685,1e-06,1.0
Concord,RC,unknown,RC,8537,1333,95,11,0,91,1,1245,0.999075,0.404613,1.0
Cabarrus County / Unincorporated,LDR,residential,LDR,7179,1061,755,54,0,0,19,806,0.9941,0.0,1.0
Cabarrus County / Unincorporated,CR,residential,CR,6474,788,558,38,0,0,11,613,0.995311,0.0,1.0
Concord,RV,residential,RV,6237,1053,49,12,0,22,2,980,0.998494,0.514691,1.0
Concord,RM-2,residential,RM-2,6192,1424,182,26,0,176,1,1320,0.99784,0.51542,1.0
Concord,RM-1,residential,RM-1,4647,899,151,35,0,150,5,796,0.995771,0.45138,1.0
Concord,PUD,unknown,PUD,3264,208,66,5,0,66,3,180,0.998802,0.512801,1.0
Harrisburg,RM,residential,RM,2931,412,112,9,0,112,2,246,0.994818,0.512804,1.0
Concord,R-CO,residential,R-CO,2238,238,125,21,0,125,1,195,0.993551,0.00795,1.0
Midland,SFR,unknown,SFR,1954,430,235,24,0,233,5,277,0.990536,0.166119,1.0
Concord,C-2,unknown,C-2,1717,568,39,25,0,32,1,530,0.992768,0.413064,1.0
Concord,RV-CD,residential,RV-CD,1672,197,63,6,0,63,1,179,0.997399,5e-06,1.0
Concord,RM-2-CU,residential,RM-2-CU,1651,184,85,12,0,58,1,128,0.996426,0.503758,1.0
Harrisburg,RL,residential,RL,1535,255,37,7,0,37,0,183,0.99589,0.546031,1.0
Concord,RL,residential,RL,1510,281,28,1,0,28,0,272,0.999389,0.668464,1.0
Harrisburg,CZ-RH,residential,CZ-RH,1475,125,34,9,0,34,0,61,0.995199,0.569565,1.0
Kannapolis,GC,commercial,GC,1359,387,41,45,0,14,5,333,0.978733,6.8e-05,1.0
Concord,RC-CD,unknown,RC-CD,874,70,13,3,0,13,1,54,0.998121,0.534713,1.0
Kannapolis,R18,residential,R18,853,93,21,6,0,16,2,71,0.994267,0.325177,1.0
Concord,RC-CU,unknown,RC-CU,833,118,0,0,0,0,0,117,0.999795,0.906558,1.0
Harrisburg,RH,residential,RH,804,46,4,1,0,0,0,30,0.9981,0.53376,1.0
Mt. Pleasant,RL,residential,RL,800,157,47,7,0,47,4,112,0.988822,0.520314,1.0
Kannapolis,R1,residential,R1,733,159,43,9,0,32,0,114,0.983913,1.8e-05,1.0
Concord,TND,unknown,TND,718,72,1,1,0,1,0,70,0.999106,0.729083,1.0
Kannapolis,O-I,office,O-I,712,316,20,27,0,15,14,245,0.967937,3.5e-05,1.0
Kannapolis,PD-TND,unknown,PD-TND,682,47,0,7,0,0,1,28,0.990058,0.011887,1.0
Harrisburg,CZ-RL,residential,CZ-RL,626,54,35,1,0,35,0,31,0.997406,0.586873,1.0
Harrisburg,PUD,mixed_use,PUD,624,78,0,1,0,0,0,21,0.99537,0.534997,1.0
Concord,PRD,unknown,PRD,605,16,10,2,0,10,2,12,0.998095,0.501469,1.0
Kannapolis,PD,unknown,PD,563,29,11,2,0,3,0,25,0.995108,1.1e-05,1.0
Concord,I-1,unknown,I-1,529,279,65,15,0,62,1,238,0.984199,0.572273,1.0
Cabarrus County / Unincorporated,MDR,residential,MDR,527,179,162,2,0,0,6,168,0.996376,0.553958,1.0
Kannapolis,CC,commercial,CC,519,66,0,11,0,0,5,36,0.978954,0.000183,1.0
Harrisburg,PUD,unknown,PUD,444,13,8,0,0,8,0,10,0.998983,0.842363,1.0
Locust,OPS,unknown,OPS,431,37,34,0,0,34,0,28,0.998291,0.861406,1.0
Concord,RV-CU,residential,RV-CU,399,68,36,0,0,33,0,50,0.999671,0.956171,1.0
Mt. Pleasant,RM,residential,RM,390,109,0,4,0,0,0,98,0.990725,0.609664,1.0
Harrisburg,CZ-RM,residential,CZ-RM,359,80,40,6,0,40,0,30,0.989579,0.52658,1.0
Midland,R/OMT,unknown,R/OMT,347,34,21,3,0,21,0,20,0.992698,0.653729,1.0
Concord,I-2,unknown,I-2,339,215,33,9,0,31,6,189,0.980593,0.346163,1.0
Concord,O-I,unknown,O-I,295,171,22,9,0,18,2,160,0.98344,0.456795,1.0
Kannapolis,AG,agricultural,AG,270,83,2,3,0,2,1,59,0.981773,0.000289,1.0
Midland,AG,agricultural,AG,265,172,126,26,0,125,3,117,0.946493,0.0,1.0
Concord,RM-2-CD,residential,RM-2-CD,263,46,22,12,0,22,4,20,0.97823,0.360821,1.0
Kannapolis,PD,residential,PD,262,40,0,15,0,0,4,27,0.959101,4e-06,1.0
