dominant_zoning_code,dominant_zoning_general,dominant_zoning_label,parcel_count,multi_zoning_count,low_confidence_count,avg_dominant_overlap_pct,min_dominant_overlap_pct,max_dominant_overlap_pct
(no match),(no match),(no match),82860,0,0,,,
AO,AGRICULTURAL,AO,10185,289,233,0.979217,0.0,1.0
LDR,RESIDENTIAL,LDR,8039,435,902,0.89245,0.0,1.0
CR,RESIDENTIAL,CR,6973,331,536,0.925713,0.0,1.0
MDR,RESIDENTIAL,MDR,785,35,257,0.678528,0.0,1.0
OI,OFFICE,OI,353,109,188,0.478384,0.0,1.0
LI,INDUSTRIAL,LI,218,43,125,0.460367,0.0,1.0
HDR-SU,RESIDENTIAL,HDR-SU,206,23,7,0.965941,0.0,1.0
LC,COMMERCIAL,LC,135,33,49,0.672338,0.0,1.0
GI,INDUSTRIAL,GI,88,33,36,0.616204,0.0,1.0
GC,COMMERCIAL,GC,41,19,15,0.66161,0.0,1.0
HDR,RESIDENTIAL,HDR,29,4,20,0.31951,0.0,1.0
AO,Agriculture,AO,19,11,1,0.93944,1.6e-05,1.0
LI-SU,INDUSTRIAL,LI-SU,17,9,6,0.645293,0.0,1.0
GI-SU,INDUSTRIAL,GI-SU,11,7,5,0.51731,0.0,0.999994
LC-SU,COMMERCIAL,LC-SU,10,5,7,0.299442,0.0,0.999285
AO-CU,RESIDENTIAL,AO-CU,7,5,0,0.97708,0.857653,1.0
LDR-SU,RESIDENTIAL,LDR-SU,7,7,1,0.894989,0.498982,0.999998
LI,OFFICE,LI,5,3,3,0.401174,0.000371,1.0
AO,RESIDENTIAL,AO,4,2,2,0.493619,6e-06,0.993522
CR,(no match),CR,4,0,2,0.500215,0.0,0.999996
LDR,(no match),LDR,4,1,3,0.250583,0.0,0.999999
MDR-SU,RESIDENTIAL,MDR-SU,4,4,0,0.935955,0.770832,0.999998
OI,INSTITUTIONAL,OI,4,4,0,0.99961,0.999184,1.0
AO-SU,AGRICULTURAL,AO-SU,3,2,1,0.658123,0.024669,1.0
GC-SU,COMMERCIAL,GC-SU,2,2,0,1.0,1.0,1.0
GI-SU,(no match),GI-SU,2,2,0,0.998141,0.998141,0.998141
LC,RESIDENTIAL,LC,1,1,0,0.996065,0.996065,0.996065
OI-SU,OFFICE,OI-SU,1,1,0,0.997277,0.997277,0.997277
