neighborhood,parcel_count,total_area_acres,avg_marketvalue,avg_assessedvalue
ROWAN COUNTY PARCEL,6054,6643.33,,
THE MILLS AT ROCKY RIVER,1007,462.1,498185.75,498185.75
BROOKWOOD NORTH,930,406.96,236293.26,236293.26
FLOWES STORE EAST,926,8841.64,390727.95,316031.19
LITTLE BUFFALO CREEK,844,11642.74,349666.45,247147.72
MIAMI CHURCH RD,839,11105.98,421075.04,305234.67
RIMER TOWN,779,7225.55,354370.17,275917.53
MIDWAY WEST,771,288.77,216463.11,216463.11
HARTSELL SCHOOL,749,310.09,160594.01,160594.01
ST JOHNS CHURCH,712,7223.94,385010.75,284168.59
WATTS CROSSROADS,699,9279.26,324320.22,233699.96
DEWEESE,670,5280.24,463024.43,356462.69
KELLSWATER BRIDGE,669,217.64,446487.25,446487.25
BETHEL ELEMENTARY SCHOOL,660,4474.41,396005.31,350848.93
LAKE CONCORD RD,645,221.68,210726.9,210726.9
ST. ANDREWS PLACE / BRAXTON PLACE,637,171.59,307522.1,307522.1
LAKE LYNN LODGE,631,3439.09,313004.98,275632.41
WEST C ST,602,197.91,183764.39,183764.39
MT PLEASANT HIGH SCHOOL,600,5156.9,391920.34,320634.29
HAHN SCOTT RD,598,6787.31,400165.93,278691.1
