subdivision,parcel_count,total_area_acres,avg_marketvalue,avg_assessedvalue
ROWAN COUNTY PARCEL,6054,6643.33,,
MOSS CREEK,1056,211.88,438635.04,438635.04
HIGHLAND CREEK,970,344.05,466636.53,466636.53
NO SUBDIVISION,742,9133.89,757928.64,612180.41
ROCKY RIVER CROSSING,504,184.05,427446.65,427446.65
ALLEN MILLS,494,229.93,734813.0,734813.0
ST ANDREWS,492,132.05,310244.72,310244.72
CABARRUS WOODS,468,167.1,297049.15,297049.15
COVINGTON,448,120.83,400003.3,400003.3
LAUREL PARK,434,127.14,528538.78,528538.78
HARRISBURG PARK,389,224.27,315246.36,315246.36
HUNTON FOREST,344,88.36,448265.23,448265.23
CANTERFIELD ESTATES,333,160.35,343661.59,343661.59
SKYBROOK,330,187.2,813866.84,813866.84
PIPER LANDING,316,55.48,321198.1,321198.1
SHEFFIELD MANOR,316,88.14,423385.63,423385.63
ANNSBOROUGH PARK,314,252.59,525092.48,525092.48
HARRISBURG TOWN CENTER,313,74.35,470940.8,470940.8
CABARRUS CROSSING,300,88.53,373030.3,373030.3
CARRIAGE DOWNS,292,183.36,597319.18,597319.18
