official_parcel_id,objectid_1,pin14,parcel_quality_status,valuation_band,parcel_size_category,zoning_jurisdiction_name,dominant_zoning_code_raw,dominant_zoning_general_normalized,zoning_assignment_confidence,governance_warning_categories,permit_count,first_permit_date,latest_permit_date,permit_type_count,total_permit_amount,co_date_future_outlier_count
CFS-PARCEL-0149726579,149726579,45896367300000,review,ultra_high,extreme_large,Concord,C-2,unknown,high,['jurisdiction_code_semantics_review'],286,2000-08-02,2025-10-22,5,61926619.0,0
CFS-PARCEL-0149808150,149808150,56213814220000,review,ultra_high,commercial_large,Concord,PID,unknown,high,"['review_sliver_overlap', 'jurisdiction_code_semantics_review']",170,2008-02-01,2025-12-12,6,154499165.69,0
CFS-PARCEL-0149752131,149752131,55091820390000,review,ultra_high,commercial_large,Concord,O-I-CD,unknown,high,"['review_sliver_overlap', 'jurisdiction_code_semantics_review']",127,2014-05-12,2025-11-04,5,31860549.0,0
CFS-PARCEL-0149728135,149728135,45998437730000,trusted,ultra_high,commercial_large,Concord,RV,residential,high,['review_sliver_overlap'],102,2005-02-01,2025-11-25,6,1034740.0,0
CFS-PARCEL-0149729262,149729262,45999433330000,trusted,ultra_high,commercial_large,Concord,RV,residential,high,['review_sliver_overlap'],69,2004-05-01,2025-11-13,9,259917.0,0
CFS-PARCEL-0149789146,149789146,56102182090000,trusted,ultra_high,extreme_large,Concord,I-2,unknown,medium,"['review_sliver_overlap', 'jurisdiction_code_semantics_review']",62,2022-05-12,2025-10-02,4,775168452.0,0
CFS-PARCEL-0149783110,149783110,56010135370000,trusted,ultra_high,commercial_large,Kannapolis,CD,unknown,high,"['review_multi_jurisdiction', 'review_sliver_overlap', 'jurisdiction_code_semantics_review']",61,2008-04-01,2025-11-12,6,10384365.44,0
CFS-PARCEL-0149736835,149736835,46705588120000,trusted,ultra_high,estate,Concord,C-2,unknown,high,['jurisdiction_code_semantics_review'],55,2009-08-01,2025-01-16,7,3754318.1,0
CFS-PARCEL-0149784413,149784413,56017349760000,trusted,ultra_high,commercial_large,Concord,I-2,unknown,high,['jurisdiction_code_semantics_review'],49,2006-08-01,2025-08-20,3,10477711.0,0
CFS-PARCEL-0149727441,149727441,45988876150000,review,ultra_high,extreme_large,Concord,PID,unknown,high,"['review_multi_jurisdiction', 'review_sliver_overlap', 'jurisdiction_code_semantics_review']",47,2003-11-01,2025-03-14,5,5557192.0,0
CFS-PARCEL-0149727442,149727442,45988876150000,review,ultra_high,extreme_large,Concord,PID,unknown,high,"['review_multi_jurisdiction', 'review_sliver_overlap', 'jurisdiction_code_semantics_review']",47,2003-11-01,2025-03-14,5,5557192.0,0
CFS-PARCEL-0149780354,149780354,55385984190000,trusted,luxury,commercial_large,Cabarrus County / Unincorporated,MDR,residential,high,['safe_for_dashboard'],45,2007-03-01,2023-11-22,8,164773.0,0
CFS-PARCEL-0149773228,149773228,55435780680000,review,ultra_high,extreme_large,Cabarrus County / Unincorporated,GI,industrial,high,['review_sliver_overlap'],45,2010-06-15,2021-10-14,5,20566707.72,0
CFS-PARCEL-0149771633,149771633,55392445840000,trusted,luxury,commercial_large,Cabarrus County / Unincorporated,MDR,residential,high,['safe_for_dashboard'],42,2008-06-01,2021-09-27,3,62500.0,0
