activity_year,activity_month,permit_count,parcel_count,unmatched_permit_count,ambiguous_permit_count,co_date_future_outlier_count,total_permit_amount
1986,12,1,1,0,0,0,
1989,9,1,1,0,0,0,
1991,4,1,1,0,0,0,
1998,11,1,1,0,0,0,
1999,5,1,1,0,0,0,
2000,2,1,1,0,0,0,96790.0
2000,4,1,1,0,0,0,
2000,8,1,1,0,0,0,38000.0
2000,9,1,1,0,0,0,
2000,11,1,1,0,0,0,100.0
2001,1,1,1,0,0,0,
2001,4,2,3,0,1,0,6000.0
2001,6,2,2,0,0,0,
2001,7,1,1,0,0,0,5000.0
2001,8,2,2,0,0,0,201000.0
2001,9,2,2,0,0,0,155101.0
2001,12,1,1,0,0,0,
2002,1,2,2,0,0,0,2000.0
2002,2,2,1,0,0,0,
2002,3,3,3,0,0,0,237078.0
2002,4,3,3,0,0,0,83835.0
2002,5,4,6,0,1,0,900000.0
2002,6,2,2,0,0,0,
2002,7,1,1,0,0,0,
2002,8,7,7,0,0,0,246000.0
2002,9,1,1,0,0,0,
2002,11,1,1,0,0,0,139000.0
2002,12,1,1,0,0,0,
2003,1,3,3,0,0,0,
2003,2,2,2,0,0,0,
2003,3,2,2,0,0,0,
2003,4,257,259,0,10,0,
2003,5,219,218,2,4,0,
2003,6,221,225,0,8,0,
2003,7,195,198,0,6,0,
2003,8,219,222,0,6,0,
2003,9,210,195,0,7,0,
2003,10,185,182,1,9,0,
2003,11,170,163,0,5,0,
2003,12,181,180,0,8,0,
2004,1,169,169,0,3,0,
2004,2,184,187,0,8,0,
2004,3,263,271,0,8,0,
2004,4,199,200,0,7,0,
2004,5,177,175,1,5,0,
2004,6,207,215,1,13,0,
2004,7,138,140,0,4,0,
2004,8,183,186,0,5,0,
2004,9,171,175,0,8,0,
2004,10,144,142,0,5,0,
2004,11,31,32,0,1,0,
2004,12,113,116,0,7,0,
2005,1,114,116,0,3,0,
2005,2,136,135,0,1,0,
2005,3,135,137,0,2,0,
2005,4,140,141,1,4,0,
2005,5,81,81,0,0,0,
2005,6,77,75,1,1,0,
2005,7,58,65,0,4,0,
2005,8,42,41,1,2,0,
2005,9,15,16,0,1,0,
