zoning_jurisdiction_name,dominant_zoning_general_normalized,dominant_zoning_code_raw,zoning_assignment_confidence,permit_count,parcel_count,ambiguous_permit_count,total_permit_amount
Cabarrus County / Unincorporated,agricultural,AO,high,4253,2786,140,372859838.18
Concord,unknown,RC,high,3399,2549,117,177566604.24
Cabarrus County / Unincorporated,residential,CR,high,3332,2246,87,264366277.88
Concord,residential,RM-2,high,3285,2507,80,157982021.31
Concord,residential,RV,high,3219,2320,109,102193254.8
Kannapolis,residential,R4,high,3202,2548,80,143741855.06
Concord,unknown,C-2,high,3074,908,338,611398271.57
Concord,unknown,PUD,high,3053,2288,49,412452323.0
Cabarrus County / Unincorporated,residential,LDR,high,3032,2118,49,113474963.31
Kannapolis,residential,R8,high,2698,2101,80,166309661.59
Concord,residential,RM-1,high,2523,1734,83,127336852.54
Harrisburg,residential,RM,high,2108,1571,66,93014965.3
Concord,residential,R-CO,high,1603,1317,33,35435690.68
Harrisburg,residential,CZ-RH,high,1517,1256,9,172356987.12
Concord,residential,RV-CD,high,1502,1359,34,240956906.05
Midland,unknown,SFR,high,1149,916,34,93003756.82
Concord,residential,RM-2-CU,high,1115,923,15,11033992.91
Concord,residential,RL,high,1010,655,27,33158117.84
Harrisburg,residential,RL,high,939,658,30,21839530.94
Concord,unknown,RC-CD,high,843,751,4,177534044.2
Harrisburg,residential,CZ-RL,high,801,562,5,118867968.79
Concord,unknown,PRD,high,771,542,5,129638804.73
Kannapolis,commercial,GC,high,771,393,45,77535782.92
Kannapolis,unknown,PD-TND,high,648,568,7,74011685.0
Concord,unknown,I-1,high,647,184,55,282449619.44
Kannapolis,residential,R18,high,598,416,3,46731622.14
Concord,unknown,RC-CU,high,520,413,11,24330476.29
Kannapolis,residential,R1,high,461,284,10,36168704.29
Kannapolis,unknown,PD,high,460,464,67,81228281.49
Harrisburg,unknown,PUD,high,448,368,52,114140409.1
Kannapolis,commercial,CC,high,445,222,17,345714766.48
Concord,unknown,O-I,high,436,176,26,136039302.85
Concord,unknown,I-2,high,407,121,40,263024750.21
Concord,commercial,CC,high,401,114,24,1478787796.07
Concord,unknown,TND,high,399,316,13,21662801.44
Cabarrus County / Unincorporated,residential,MDR,high,353,157,64,7359110.0
Harrisburg,mixed_use,PUD,high,351,257,24,22189291.05
Concord,residential,RM-2-CD,high,328,229,1,53380313.0
Harrisburg,residential,CZ-RM,high,327,266,5,59355331.7
Concord,unknown,PID,high,286,17,51,203033508.69
Harrisburg,residential,RH,high,279,227,7,5003225.12
Mt. Pleasant,residential,RL,high,249,170,27,11227645.7
Locust,unknown,OPS,high,241,210,5,20806368.04
Kannapolis,residential,R4-CZ,high,225,202,2,56093961.8
Kannapolis,unknown,CD,high,214,37,11,130715110.56
Harrisburg,commercial,GC,high,196,57,26,28272996.47
(unmatched parcel),(unknown),(unknown),,195,0,0,55718833.77
Concord,mixed_use,MX-CC2,high,184,23,3,42454810.16
Kannapolis,residential,R18-CZ,high,173,78,0,76868700.1
Midland,unknown,R/OMT,high,171,237,77,19326216.0
Concord,unknown,C-1,high,168,78,13,11953772.5
Mt. Pleasant,residential,RM,high,161,118,2,11399443.86
Kannapolis,office,O-I,high,156,115,4,7502611.09
Kannapolis,residential,R4,medium,153,119,3,7204869.5
Concord,unknown,O-I-CD,high,151,9,2,46329184.0
Kannapolis,commercial,GC,medium,150,31,13,53452570.53
Kannapolis,residential,R8-CZ,high,147,134,0,23286209.0
Kannapolis,agricultural,AG,high,140,75,8,12649929.99
Concord,residential,RV-CU,high,130,102,0,14121795.0
Harrisburg,industrial,EC,high,118,56,6,37168739.91
Harrisburg,commercial,CZ-GC,high,114,15,19,39648647.81
Concord,unknown,I-2-CD,high,112,12,0,80065963.21
Locust,unknown,OPS-C,high,106,102,0,15961315.0
Harrisburg,office,OI,high,105,23,17,60170079.98
Kannapolis,residential,R8,medium,102,89,4,5320717.49
Concord,unknown,I-2,medium,101,4,0,803193023.0
Concord,unknown,C-2,medium,92,11,2,10761748.0
Kannapolis,industrial,LI,high,92,37,11,5779458.61
Midland,unknown,C24/27,high,90,30,11,12193714.0
Midland,unknown,TNDO-CZ,high,89,84,0,12558534.0
Cabarrus County / Unincorporated,office,OI,high,88,29,3,43902042.0
Cabarrus County / Unincorporated,industrial,GI,high,87,12,0,37616265.77
Kannapolis,commercial,GC-CZ,high,81,14,8,24036281.0
Concord,unknown,C-2-CU,high,78,13,0,7545987.0
Harrisburg,residential,RM,medium,78,57,9,7659766.0
Concord,unknown,C-2,low,67,11,0,6766872.66
