permit_id,permit_number,parcel_number,parcel_number_normalized,official_parcel_id,objectid_1,pin14,permit_date,activity_year,permit_code,permit_type,work_type,permit_status,parcel_quality_status,valuation_band,parcel_size_category,zoning_jurisdiction_name,dominant_zoning_code_raw,dominant_zoning_general_normalized,zoning_assignment_confidence,governance_warning_categories,relationship_method,relationship_confidence
4890994,BU2024-01298,56222955350000,56222955350000,CFS-PARCEL-0149811814,149811814,56222955350000,2024-04-02,2024,N,NEW CONSTRUCTION,Residential New,INSPECTIONS,review,medium,residential_standard,Kannapolis,PD,unknown,high,['jurisdiction_code_semantics_review'],exact_pin14,low
4890994,BU2024-01298,56222955350000,56222955350000,CFS-PARCEL-0149811815,149811815,56222955350000,2024-04-02,2024,N,NEW CONSTRUCTION,Residential New,INSPECTIONS,review,medium,residential_standard,Kannapolis,PD,unknown,high,['jurisdiction_code_semantics_review'],exact_pin14,low
4890995,BU2024-01300,56222955550000,56222955550000,CFS-PARCEL-0149811421,149811421,56222955550000,2024-04-02,2024,N,NEW CONSTRUCTION,Residential New,CO ISSUED,review,medium,residential_standard,Kannapolis,PD,unknown,high,['jurisdiction_code_semantics_review'],exact_pin14,low
4890995,BU2024-01300,56222955550000,56222955550000,CFS-PARCEL-0149811422,149811422,56222955550000,2024-04-02,2024,N,NEW CONSTRUCTION,Residential New,CO ISSUED,review,medium,residential_standard,Kannapolis,PD,unknown,high,['jurisdiction_code_semantics_review'],exact_pin14,low
4890997,BU2024-01301,56222955760000,56222955760000,CFS-PARCEL-0149819515,149819515,56222955760000,2024-04-02,2024,N,NEW CONSTRUCTION,Residential New,CO ISSUED,review,medium,residential_standard,Kannapolis,PD,unknown,high,['jurisdiction_code_semantics_review'],exact_pin14,low
4890997,BU2024-01301,56222955760000,56222955760000,CFS-PARCEL-0149819516,149819516,56222955760000,2024-04-02,2024,N,NEW CONSTRUCTION,Residential New,CO ISSUED,review,medium,residential_standard,Kannapolis,PD,unknown,high,['jurisdiction_code_semantics_review'],exact_pin14,low
4891004,BU2024-01441,56222956390000,56222956390000,CFS-PARCEL-0149811517,149811517,56222956390000,2024-04-15,2024,N,NEW CONSTRUCTION,Residential New,CO ISSUED,review,medium,residential_standard,Kannapolis,PD,unknown,high,['jurisdiction_code_semantics_review'],exact_pin14,low
4891004,BU2024-01441,56222956390000,56222956390000,CFS-PARCEL-0149811518,149811518,56222956390000,2024-04-15,2024,N,NEW CONSTRUCTION,Residential New,CO ISSUED,review,medium,residential_standard,Kannapolis,PD,unknown,high,['jurisdiction_code_semantics_review'],exact_pin14,low
4891005,BU2024-01440,56222957610000,56222957610000,CFS-PARCEL-0149811434,149811434,56222957610000,2024-04-15,2024,N,NEW CONSTRUCTION,Residential New,INSPECTIONS,review,medium,residential_standard,Kannapolis,PD,unknown,high,['jurisdiction_code_semantics_review'],exact_pin14,low
4891005,BU2024-01440,56222957610000,56222957610000,CFS-PARCEL-0149811435,149811435,56222957610000,2024-04-15,2024,N,NEW CONSTRUCTION,Residential New,INSPECTIONS,review,medium,residential_standard,Kannapolis,PD,unknown,high,['jurisdiction_code_semantics_review'],exact_pin14,low
