permit_id,permit_number,parcel_number,parcel_number_normalized,permit_date,activity_year,permit_code,permit_type,work_type,permit_status,permit_amount,relationship_method,relationship_confidence,co_date_future_outlier
5476966,BU2025-03837,56119179290000,56119179290000,2025-12-31,2025,D,DEMOLITION,Residential Demolition,INSPECTIONS,5000.0,no_match,no_match,False
5274014,BU2025-03711,56608362250000,56608362250000,2025-12-12,2025,N,NEW CONSTRUCTION,Residential New,ISSUED,390000.0,no_match,no_match,False
5328632,BU2025-03682,56700432430000,56700432430000,2025-12-12,2025,R,REMODEL,Residential Repair,ISSUED,40000.0,no_match,no_match,False
5475037,BU2025-03691,56137592120000,56137592120000,2025-12-12,2025,R,REMODEL,Residential Repair,INSPECTIONS,37000.0,no_match,no_match,False
5298806,BU2025-03608,56107907530000,56107907530000,2025-12-09,2025,O,OTHER,Commercial Wall,CLOSED,80000.0,no_match,no_match,False
5481499,BU2025-03574,55159010090000,55159010090000,2025-11-26,2025,O,OTHER,Commercial Wall,CLOSED,38900.0,no_match,no_match,False
5295959,BU2025-03324,56133267820000,56133267820000,2025-11-03,2025,N,NEW CONSTRUCTION,Residential New,INSPECTIONS,213500.0,no_match,no_match,False
5306291,BU2025-03263,56433773950000,56433773950000,2025-10-28,2025,U,UPFIT,Commercial Upfit,CLOSED,18000.0,no_match,no_match,False
5252038,BU2025-03210,55075079870000,55075079870000,2025-10-23,2025,O,OTHER,Commercial Wall,CLOSED,5000.0,no_match,no_match,False
5286698,BU2025-03193,56221552760000,56221552760000,2025-10-22,2025,N,NEW CONSTRUCTION,Residential New,INSPECTIONS,130000.0,no_match,no_match,False
5293585,BU2025-03186,56223092930000,56223092930000,2025-10-21,2025,U,UPFIT,Commercial Upfit,INSPECTIONS,1692000.0,no_match,no_match,False
5469310,BU2025-02949,55291466340000,55291466340000,2025-09-29,2025,N,NEW CONSTRUCTION,Residential New,INSPECTIONS,76800.0,no_match,no_match,False
5452820,ZNAG2025-00010,46824675280000,46824675280000,2025-09-23,2025,O,OTHER,,CLOSED,,no_match,no_match,False
5286697,BU2025-02580,56221552760000,56221552760000,2025-08-28,2025,D,DEMOLITION,Residential Demolition,CLOSED,15000.0,no_match,no_match,False
5298804,,56107907530000,56107907530000,2025-07-31,2025,D,DEMOLITION,,CLOSED,,no_match,no_match,False
5298805,,56107907530000,56107907530000,2025-07-31,2025,D,DEMOLITION,,CLOSED,,no_match,no_match,False
5291020,BU2025-02227,56503354090000,56503354090000,2025-07-28,2025,XF,EXTRA FEATURE,Residential Accessory Structure,INSPECTIONS,15000.0,no_match,no_match,False
5273930,BU2025-01747,55447880610000,55447880610000,2025-06-12,2025,N,NEW CONSTRUCTION,Residential New,CLOSED,178419.0,no_match,no_match,False
5082530,2025-01701,56033040250000,56033040250000,2025-06-06,2025,C,COMMERCIAL NEW CONSTRUCTION,Commercial Trailer Construction,CLOSED,13000.0,no_match,no_match,False
5082531,BU2025-01701,56033040250000,56033040250000,2025-06-06,2025,C,COMMERCIAL NEW CONSTRUCTION,Commercial Trailer Construction,INSPECTIONS,13000.0,no_match,no_match,False
5304863,BU2025-01256,55242891230000,55242891230000,2025-04-29,2025,O,OTHER,Commercial Wall,CLOSED,540000.0,no_match,no_match,False
5306290,BU2025-01142,56433773950000,56433773950000,2025-04-16,2025,O,OTHER,Commercial Repair,CLOSED,25000.0,no_match,no_match,False
5246877,2025-01015,46820257380000,46820257380000,2025-04-07,2025,XF,EXTRA FEATURE,Residential Accessory Structure,CLOSED,51000.0,no_match,no_match,False
5497314,BU2025-00913,56023839820000,56023839820000,2025-03-26,2025,C,COMMERCIAL NEW CONSTRUCTION,Commercial Shell,INSPECTIONS,1042000.0,no_match,no_match,False
5245325,BU2025-00895,56210065920000,56210065920000,2025-03-25,2025,D,DEMOLITION,Residential Demolition,CLOSED,15000.0,no_match,no_match,False
5462108,BU2025-00889,56125375860000,56125375860000,2025-03-25,2025,R,REMODEL,Residential Repair,INSPECTIONS,5000.0,no_match,no_match,False
5508697,BU2025-00734,56023946640000,56023946640000,2025-03-13,2025,C,COMMERCIAL NEW CONSTRUCTION,Commercial Shell,INSPECTIONS,1175000.0,no_match,no_match,False
5508696,BU2025-00666,56023946640000,56023946640000,2025-03-07,2025,C,COMMERCIAL NEW CONSTRUCTION,Commercial New,INSPECTIONS,5516080.0,no_match,no_match,False
5246878,2025-00203,46820257380000,46820257380000,2025-01-22,2025,O,OTHER,Commercial Wall,CLOSED,30000.0,no_match,no_match,False
5262867,BU2024-04135,55452839320000,55452839320000,2024-12-09,2024,XF,EXTRA FEATURE,Residential Accessory Structure,CLOSED,15000.0,no_match,no_match,False
5489535,2024-04133,56233759200000,56233759200000,2024-12-09,2024,O,OTHER,,CLOSED,50000.0,no_match,no_match,False
5489536,BU2024-04133,56233759200000,56233759200000,2024-12-09,2024,R,REMODEL,Residential Repair,CLOSED,50000.0,no_match,no_match,False
5497846,BU2024-04108,56016019220000,56016019220000,2024-12-05,2024,C,COMMERCIAL NEW CONSTRUCTION,Commercial Trailer Construction,ISSUED,50000.0,no_match,no_match,False
5497845,BU2024-04036,56016019220000,56016019220000,2024-11-26,2024,C,COMMERCIAL NEW CONSTRUCTION,Commercial New,INSPECTIONS,10000000.0,no_match,no_match,False
5450973,BU2024-03916,56403313750000,56403313750000,2024-11-14,2024,N,NEW CONSTRUCTION,Residential New,CLOSED,305450.0,no_match,no_match,False
5497844,BU2024-03847,56016019220000,56016019220000,2024-11-04,2024,D,DEMOLITION,Residential Demolition,ISSUED,39000.0,no_match,no_match,False
5246859,2024-03807,46820257380000,46820257380000,2024-10-31,2024,O,OTHER,Commercial Sign,CLOSED,11612.0,no_match,no_match,False
5246860,2024-03805,46820257380000,46820257380000,2024-10-31,2024,O,OTHER,Commercial Sign,CLOSED,11612.0,no_match,no_match,False
5209411,BU2024-03701,56137158110000,56137158110000,2024-10-24,2024,A,ADDITION RESIDENTIAL,Residential Addition,INSPECTIONS,10000.0,no_match,no_match,False
5224969,BU2024-03662,56017045330000,56017045330000,2024-10-18,2024,U,UPFIT,Commercial Upfit,INSPECTIONS,500000.0,no_match,no_match,False
5306237,BU2024-03455,55076653530000,55076653530000,2024-09-27,2024,O,OTHER,Commercial Sign,CLOSED,1500.0,no_match,no_match,False
5306238,BU2024-03456,55076653530000,55076653530000,2024-09-27,2024,O,OTHER,Commercial Sign,CLOSED,1000.0,no_match,no_match,False
5209410,BU2024-03369,56137158110000,56137158110000,2024-09-26,2024,XF,EXTRA FEATURE,Residential Accessory Structure,INSPECTIONS,50000.0,no_match,no_match,False
5230194,BU2024-03249,55097599000000,55097599000000,2024-09-11,2024,D,DEMOLITION,Residential Demolition,INSPECTIONS,112000.0,no_match,no_match,False
5251820,2024-02903,56023909020000,56023909020000,2024-08-08,2024,O,OTHER,Commercial Wall,ISSUED,341000.0,no_match,no_match,False
5251821,BU2024-02903,56023909020000,56023909020000,2024-08-08,2024,O,OTHER,Commercial Wall,INSPECTIONS,341000.0,no_match,no_match,False
5224968,BU2024-02651,56017045330000,56017045330000,2024-07-23,2024,C,COMMERCIAL NEW CONSTRUCTION,Commercial Shell,INSPECTIONS,620000.0,no_match,no_match,False
5306236,BU2024-01787,55076653530000,55076653530000,2024-05-09,2024,O,OTHER,Commercial Wall,CLOSED,20000.0,no_match,no_match,False
5140127,BU2024-01795,46816627200000,46816627200000,2024-05-07,2024,D,DEMOLITION,Residential Demolition,INSPECTIONS,23000.0,no_match,no_match,False
5096940,BU2024-01469,55436383490000,55436383490000,2024-04-18,2024,R,REMODEL,Residential Repair,INSPECTIONS,15000.0,no_match,no_match,False
5462107,BU2024-00564,56125375860000,56125375860000,2024-02-13,2024,R,REMODEL,Residential Repair,INSPECTIONS,2000.0,no_match,no_match,False
5306235,BU2024-00456,55076653530000,55076653530000,2024-02-05,2024,D,DEMOLITION,Commercial Demolition,CLOSED,23000.0,no_match,no_match,False
5209409,BU2024-00284,56137158110000,56137158110000,2024-01-19,2024,A,ADDITION RESIDENTIAL,Residential Addition,INSPECTIONS,25000.0,no_match,no_match,False
5246486,BU2024-00281,46737030410000,46737030410000,2024-01-19,2024,N,NEW CONSTRUCTION,Residential New,CLOSED,500000.0,no_match,no_match,False
5262865,BU2023-04055,55452839320000,55452839320000,2023-10-30,2023,N,NEW CONSTRUCTION,Residential New,CLOSED,200000.0,no_match,no_match,False
5138691,BU2023-03528,55452837480000,55452837480000,2023-09-19,2023,D,DEMOLITION,Residential Demolition,INSPECTIONS,5000.0,no_match,no_match,False
5262866,BU2023-03527,55452839320000,55452839320000,2023-09-19,2023,D,DEMOLITION,Residential Demolition,CLOSED,5000.0,no_match,no_match,False
5476936,BU2023-02972,56011054010000,56011054010000,2023-08-07,2023,C,COMMERCIAL NEW CONSTRUCTION,Commercial New,INSPECTIONS,0.0,no_match,no_match,False
5475865,BU2023-02954,56336683330000,56336683330000,2023-08-04,2023,C,COMMERCIAL NEW CONSTRUCTION,Commercial New,ISSUED,2200000.0,no_match,no_match,False
5092364,,55447843880000,55447843880000,2023-07-18,2023,O,OTHER,,,,no_match,no_match,False
5476937,BU2023-01904,56011054010000,56011054010000,2023-07-14,2023,N,NEW CONSTRUCTION,Residential New,INSPECTIONS,221842.0,no_match,no_match,False
5476938,BU2023-01914,56011054010000,56011054010000,2023-07-14,2023,N,NEW CONSTRUCTION,Residential New,INSPECTIONS,221842.0,no_match,no_match,False
5476939,BU2023-01916,56011054010000,56011054010000,2023-07-14,2023,N,NEW CONSTRUCTION,Residential New,INSPECTIONS,227631.0,no_match,no_match,False
