activity_year,permit_count,invalid_or_future_permit_date_count,invalid_or_future_co_date_count
1986,1,0,0
1989,1,0,0
1991,1,0,0
1998,1,0,0
1999,1,0,0
2000,5,0,0
2001,11,0,0
2002,27,0,0
2003,1864,0,0
2004,1979,0,0
2005,862,0,0
2006,1396,0,0
2007,3172,0,0
2008,2243,0,0
2009,1690,0,0
2010,1495,0,0
2011,1663,0,0
2012,1806,0,0
2013,2068,0,0
2014,2787,0,0
2015,3141,0,0
2016,3310,0,0
2017,3382,0,1
2018,3593,0,0
2019,3720,0,0
2020,3821,0,0
2021,4304,0,0
2022,4202,0,0
2023,4044,0,0
2024,4168,0,0
2025,3642,0,0
,26,26,0
