zoning_code,zoning_general,zoning_label,feature_count,total_area_acres,avg_feature_area_acres
LDR,RESIDENTIAL,LDR,67,13895.5,207.4
OI,OFFICE,OI,54,3266.79,60.5
CR,RESIDENTIAL,CR,33,35741.64,1083.08
LI,INDUSTRIAL,LI,33,1202.34,36.43
LC,COMMERCIAL,LC,23,363.33,15.8
GI,INDUSTRIAL,GI,15,1213.79,80.92
MDR,RESIDENTIAL,MDR,14,901.37,64.38
LI-SU,INDUSTRIAL,LI-SU,9,65.47,7.27
AO,AGRICULTURAL,AO,6,89245.2,14874.2
GC,COMMERCIAL,GC,6,117.82,19.64
LDR-SU,RESIDENTIAL,LDR-SU,6,25.47,4.25
GI-SU,INDUSTRIAL,GI-SU,4,145.09,36.27
HDR-SU,RESIDENTIAL,HDR-SU,3,95.25,31.75
AO,RESIDENTIAL,AO,2,8.76,4.38
AO-CU,RESIDENTIAL,AO-CU,2,253.38,126.69
AO-SU,AGRICULTURAL,AO-SU,2,3.72,1.86
LC-SU,COMMERCIAL,LC-SU,2,59.08,29.54
OI,INSTITUTIONAL,OI,2,6.75,3.37
AO,Agriculture,AO,1,126.97,126.97
CR,,CR,1,2.99,2.99
GC-SU,COMMERCIAL,GC-SU,1,3.92,3.92
GI-SU,,GI-SU,1,143.63,143.63
HDR,RESIDENTIAL,HDR,1,88.51,88.51
LC,RESIDENTIAL,LC,1,1.98,1.98
LDR,,LDR,1,0.63,0.63
LI,OFFICE,LI,1,25.72,25.72
MDR-SU,RESIDENTIAL,MDR-SU,1,2.49,2.49
OI-SU,OFFICE,OI-SU,1,1.15,1.15
