jurisdiction_name,zoning_code_raw,zoning_general_raw,zoning_type_raw,base_district_raw,conditional_raw,zoning_label_normalized,zoning_general_normalized,feature_count,total_area_acres
Cabarrus County / Unincorporated,LDR,RESIDENTIAL,,,,LDR,residential,67,13895.5
Cabarrus County / Unincorporated,OI,OFFICE,,,,OI,office,54,3266.79
Cabarrus County / Unincorporated,CR,RESIDENTIAL,,,,CR,residential,33,35741.64
Cabarrus County / Unincorporated,LI,INDUSTRIAL,,,,LI,industrial,33,1202.34
Cabarrus County / Unincorporated,LC,COMMERCIAL,,,,LC,commercial,23,363.33
Cabarrus County / Unincorporated,GI,INDUSTRIAL,,,,GI,industrial,15,1213.79
Cabarrus County / Unincorporated,MDR,RESIDENTIAL,,,,MDR,residential,14,901.37
Cabarrus County / Unincorporated,LI-SU,INDUSTRIAL,,,,LI-SU,industrial,9,65.47
Cabarrus County / Unincorporated,AO,AGRICULTURAL,,,,AO,agricultural,6,89245.2
Cabarrus County / Unincorporated,GC,COMMERCIAL,,,,GC,commercial,6,117.82
Cabarrus County / Unincorporated,LDR-SU,RESIDENTIAL,,,,LDR-SU,residential,6,25.47
Cabarrus County / Unincorporated,GI-SU,INDUSTRIAL,,,,GI-SU,industrial,4,145.09
Cabarrus County / Unincorporated,HDR-SU,RESIDENTIAL,,,,HDR-SU,residential,3,95.25
Cabarrus County / Unincorporated,AO,RESIDENTIAL,,,,AO,agricultural,2,8.76
Cabarrus County / Unincorporated,AO-CU,RESIDENTIAL,,,,AO-CU,agricultural,2,253.38
Cabarrus County / Unincorporated,AO-SU,AGRICULTURAL,,,,AO-SU,agricultural,2,3.72
Cabarrus County / Unincorporated,LC-SU,COMMERCIAL,,,,LC-SU,commercial,2,59.08
Cabarrus County / Unincorporated,OI,INSTITUTIONAL,,,,OI,office,2,6.75
Cabarrus County / Unincorporated,AO,Agriculture,,,,AO,agricultural,1,126.97
Cabarrus County / Unincorporated,CR,,,,,CR,residential,1,2.99
Cabarrus County / Unincorporated,GC-SU,COMMERCIAL,,,,GC-SU,commercial,1,3.92
Cabarrus County / Unincorporated,GI-SU,,,,,GI-SU,industrial,1,143.63
Cabarrus County / Unincorporated,HDR,RESIDENTIAL,,,,HDR,residential,1,88.51
Cabarrus County / Unincorporated,LC,RESIDENTIAL,,,,LC,commercial,1,1.98
Cabarrus County / Unincorporated,LDR,,,,,LDR,residential,1,0.63
Cabarrus County / Unincorporated,LI,OFFICE,,,,LI,office,1,25.72
Cabarrus County / Unincorporated,MDR-SU,RESIDENTIAL,,,,MDR-SU,residential,1,2.49
Cabarrus County / Unincorporated,OI-SU,OFFICE,,,,OI-SU,office,1,1.15
Concord,C-2,,,,,C-2,unknown,96,4123.87
Concord,I-1,,,,,I-1,unknown,83,3233.74
Concord,O-I,,,,,O-I,unknown,83,1462.69
Concord,RC,,,,,RC,unknown,74,3555.77
Concord,RM-2,,,,,RM-2,residential,58,3947.53
Concord,RM-1,,,,,RM-1,residential,57,5844.14
Concord,RV,,,,,RV,residential,43,3099.48
Concord,I-2,,,,,I-2,unknown,34,5267.6
Concord,RV-CD,,,,,RV-CD,residential,29,1011.74
Concord,C-1,,,,,C-1,unknown,27,250.92
Concord,PUD,,,,,PUD,unknown,26,1794.28
Concord,B-1,,,,,B-1,unknown,23,40.34
Concord,RC-CD,,,,,RC-CD,unknown,21,365.81
Concord,C-2-CD,,,,,C-2-CD,unknown,17,83.89
Concord,RL,,,,,RL,residential,13,1844.47
Concord,AG,,,,,AG,agricultural,12,326.26
Concord,RE,,,,,RE,residential,12,294.48
Concord,C-2-CU,,,,,C-2-CU,unknown,11,176.94
Concord,C-1-CD,,,,,C-1-CD,unknown,9,12.36
Concord,I-1-CD,,,,,I-1-CD,unknown,8,269.19
Concord,RC-CU,,,,,RC-CU,unknown,8,270.1
Concord,,,,,,UNKNOWN,unknown,8,70.4
Concord,O-I-CD,,,,,O-I-CD,unknown,7,141.99
Concord,I-1-CU,,,,,I-1-CU,unknown,6,439.01
Concord,R-CO,,,,,R-CO,residential,6,747.37
Concord,RM-2-CD,,,,,RM-2-CD,residential,6,200.53
Concord,RM-2-CU,,,,,RM-2-CU,residential,6,842.01
Concord,RV-CU,,,,,RV-CU,residential,6,175.04
Concord,I-2-CD,,,,,I-2-CD,unknown,4,301.8
Concord,I-2-CU,,,,,I-2-CU,unknown,4,139.86
Concord,PID,,,,,PID,unknown,4,1212.89
Concord,C-1-CU,,,,,C-1-CU,unknown,3,5.6
Concord,MX-IB,,,,,MX-IB,mixed_use,3,56.91
Concord,PRD,,,,,PRD,unknown,3,470.85
Concord,TND,,,,,TND,unknown,3,171.61
Concord,B-1-CU,,,,,B-1-CU,unknown,2,2.02
Concord,MX-CC2,,,,,MX-CC2,mixed_use,2,100.15
Concord,MX-NC,,,,,MX-NC,mixed_use,2,10.2
Concord,AG-CD,,,,,AG-CD,agricultural,1,88.28
Concord,CC,,,,,CC,commercial,1,103.75
Concord,CC-CD,,,,,CC-CD,commercial,1,0.4
Concord,CD,,,,,CD,unknown,1,161.82
Concord,not-yet-zoned,,,,,NOT-YET-ZONED,unknown,1,48.85
Concord,O-I-CU,,,,,O-I-CU,unknown,1,6.48
Concord,RE-CU,,,,,RE-CU,residential,1,21.4
Harrisburg,RE,RESIDENTIAL,,,,RE,residential,30,890.31
Harrisburg,GC,COMMERCIAL,,,,GC,commercial,24,241.57
Harrisburg,OI,OFFICE,,,,OI,office,17,447.84
Harrisburg,EC,INDUSTRIAL,,,,EC,industrial,16,1281.38
Harrisburg,RM,RESIDENTIAL,,,,RM,residential,15,1650.0
Harrisburg,RL,RESIDENTIAL,,,,RL,residential,13,1479.15
Harrisburg,CZ-RH,RESIDENTIAL,,,,CZ-RH,residential,11,656.77
Harrisburg,CZ-GC,COMMERCIAL,,,,CZ-GC,commercial,8,69.78
Harrisburg,CZ-RL,RESIDENTIAL,,,,CZ-RL,residential,5,516.13
Harrisburg,NC,COMMERCIAL,,,,NC,commercial,5,29.43
Harrisburg,CZ-RL,,,,,CZ-RL,unknown,4,221.54
Harrisburg,PUD,MIXED USE,,,,PUD,mixed_use,4,214.65
Harrisburg,RE,,,,,RE,residential,4,37.15
Harrisburg,CZ-OI,OFFICE,,,,CZ-OI,office,3,28.27
Harrisburg,CZ-RM,,,,,CZ-RM,unknown,3,143.07
Harrisburg,RH,RESIDENTIAL,,,,RH,residential,3,260.55
Harrisburg,CZ-CC,MIXED USE,,,,CZ-CC,mixed_use,2,16.38
Harrisburg,CZ-RM,RESIDENTIAL,,,,CZ-RM,residential,2,65.65
Harrisburg,OI,,,,,OI,office,2,4.27
Harrisburg,RL,,,,,RL,residential,2,356.71
Harrisburg,RM,,,,,RM,residential,2,4.18
Harrisburg,CZ-AG,,,,,CZ-AG,unknown,1,46.33
Harrisburg,CZ-GC,,,,,CZ-GC,unknown,1,2.63
Harrisburg,CZ-NC,RESIDENTIAL,,,,CZ-NC,residential,1,14.18
Harrisburg,CZ-RE,RESIDENTIAL,,,,CZ-RE,residential,1,152.53
Harrisburg,CZ-RH,,,,,CZ-RH,unknown,1,2.46
Harrisburg,CZ-RM,RESIDENTIAL MEDIUM,,,,CZ-RM,residential,1,185.1
Harrisburg,EC,LIGHT INDUSTRIAL,,,,EC,industrial,1,5.01
Harrisburg,EC,MIXED USE,,,,EC,mixed_use,1,121.64
Harrisburg,NC,,,,,NC,unknown,1,3.84
Harrisburg,OI,RESIDENTIAL,,,,OI,office,1,25.83
Harrisburg,PUD,,,,,PUD,unknown,1,142.95
Harrisburg,RH,,,,,RH,residential,1,34.05
Harrisburg,RM,COMMERCIAL,,,,RM,commercial,1,14.25
