subdivision,no_match_count,no_match_area_acres,subdivision_review_count,avg_area_acres
(missing),22008,28047.79,22008,1.2744
ROWAN COUNTY PARCEL,6023,6392.3,6023,1.0613
MOSS CREEK,1040,202.92,0,0.1951
HIGHLAND CREEK,940,278.21,0,0.296
ROCKY RIVER CROSSING,504,184.05,0,0.3652
ALLEN MILLS,486,152.4,0,0.3136
COVINGTON,448,120.83,0,0.2697
LAUREL PARK,434,127.14,0,0.293
HARRISBURG PARK,389,224.27,0,0.5765
HUNTON FOREST,344,88.36,0,0.2569
CANTERFIELD ESTATES,329,87.46,0,0.2658
PIPER LANDING,316,55.48,0,0.1756
SHEFFIELD MANOR,316,88.14,0,0.2789
HARRISBURG TOWN CENTER,313,74.35,0,0.2375
ANNSBOROUGH PARK,309,99.63,0,0.3224
NO SUBDIVISION,294,1769.66,294,6.0193
CARRIAGE DOWNS,292,183.36,0,0.6279
RIDGE CROSSING,279,77.61,0,0.2782
CAROLANDO,278,323.65,0,1.1642
CHILDERS PARK,276,50.35,0,0.1824
RIVERWALK,260,71.8,0,0.2762
BRANDON RIDGE,259,34.33,0,0.1326
OAK PARK,244,59.03,0,0.2419
ORCHARD PARK,239,132.7,0,0.5552
HAVENBROOK,236,39.92,0,0.1692
OAKLAWN DEVELOPMENT,232,16.0,0,0.0689
FARM AT RIVERPOINTE,230,71.6,0,0.3113
COUNTRY ACRES,228,145.65,0,0.6388
WYNTREE,227,11.59,0,0.051
ZEMOSA ACRES,221,294.81,0,1.334
ROBERTA RIDGE,220,47.71,0,0.2169
CANNON RUN,219,49.72,0,0.227
JAMESTOWN,217,38.74,0,0.1785
FREEDOM ACRES,216,212.96,0,0.9859
SOUTHERN CHASE,210,36.87,0,0.1756
KELLSWATER,208,70.16,0,0.3373
OLD SOUTH,207,132.22,0,0.6388
FALCON CHASE,205,60.29,0,0.2941
HARBOUR TOWNE,205,43.61,0,0.2127
WATERSIDE LANDING,205,61.5,0,0.3
MORRIS GLEN,188,82.56,0,0.4391
CONCORD LAKES TOWNHOMES,186,26.03,0,0.1399
LOCKE MILL PLAZA,186,2.86,0,0.0154
COCHRAN FARMS,184,49.17,0,0.2672
WILLOW BEND,180,46.98,0,0.261
KING'S CROSSING,178,92.09,0,0.5174
SPRING MEADOW,178,41.35,0,0.2323
GABLE OAKS,172,52.73,0,0.3066
WOODLANDS,170,72.24,0,0.4249
WEDDINGTON WOODS,168,44.33,0,0.2639
OLDENBURG,166,108.27,0,0.6522
ADAIR WOODS,163,34.81,0,0.2136
ROBERTA FARMS,162,50.46,0,0.3115
VALHALLA,162,90.54,0,0.5589
SHERWOOD FOREST,161,68.39,0,0.4248
QUAIL HOLLOW,159,107.59,0,0.6767
THE WAYFORTH AT CONCORD,159,19.3,0,0.1214
AUTUMN CHASE,153,70.43,0,0.4604
AFTON PARK,152,26.74,0,0.1759
GEORGETOWN CROSSING,151,15.36,0,0.1017
BOULDER CREEK,148,60.12,0,0.4062
CABARRUS ACRES,148,184.74,0,1.2482
THE COMMONS AT FARMINGTON PH2,147,9.59,0,0.0652
AUSTIN CORNERS,146,59.71,0,0.4089
WALKERS GLEN,145,11.08,0,0.0764
CHERRY GROVE,143,8.18,0,0.0572
COVENTRY,143,53.8,0,0.3762
TOWNHOMES AT CANNON RUN,143,23.03,0,0.161
CANNON CROSSING,142,46.72,0,0.329
IVYDALE,142,33.08,0,0.233
PENNANT SQUARE,142,9.46,0,0.0666
THE VILLAGES AT SKYBROOK NORTH,141,25.64,0,0.1819
HARRISBURG VILLAGE PH2,140,18.19,0,0.13
THE MILLS,140,33.55,0,0.2397
HUNTWICK,138,135.7,0,0.9833
KISER WOODS,138,40.8,0,0.2957
GOODMAN HEIGHTS,136,74.2,0,0.5456
CAMELOT,135,106.18,0,0.7865
CEDAR SPRINGS,133,74.66,0,0.5614
CENTRAL PARK,133,18.32,0,0.1377
TERRACES AT FARMINGTON PH 2,133,9.54,0,0.0717
HEDGECLIFF TOWNS,132,11.94,0,0.0905
PARK PLACE,131,12.95,0,0.0989
GREYSTONE,130,38.63,0,0.2972
SOUTHWOOD PARK,130,56.51,0,0.4347
MOUNTAINBROOK,129,75.22,0,0.5831
THE FARM AT RIVERPOINTE,128,19.35,0,0.1512
AUTUMN RIDGE,124,25.88,0,0.2087
HARMONY,124,31.97,0,0.2579
HILLTOP ACRES,124,114.55,0,0.9238
RED HILL,124,72.68,0,0.5861
HALLSTEAD Ph2 Mp3,122,17.65,0,0.1447
RIVER HILLS,121,135.37,0,1.1188
STONEWYCK,121,40.67,0,0.3361
TRINITY CROSSING,121,120.41,0,0.9952
MAGNOLIA SPRINGS,120,26.43,0,0.2203
PARKWOOD,120,52.77,0,0.4397
PENDLETON,120,41.64,0,0.347
THE MILLS AT ROCKY RIVER TOWNHOMES,118,9.78,0,0.0829
PICTURE PARK,117,60.99,0,0.5213
ASHEFORD GREEN,116,60.18,0,0.5188
SPRING HILL,116,55.44,0,0.4779
TOWNCREEK,116,104.0,0,0.8965
BEAVER POND,115,42.04,0,0.3656
ODELL CORNERS,115,10.51,0,0.0914
GLENWOOD AT THE VILLAGE OF REDBRIDGE,114,35.16,0,0.3085
BRANTLEY CREEK,112,22.7,0,0.2026
HUNTER'S POINTE,112,77.68,0,0.6936
MEADOWBROOK,112,17.33,0,0.1548
CRESTVIEW,111,64.62,0,0.5821
EASTWAY VILLAGE,111,41.72,0,0.3759
PINE BLUFF,111,38.15,0,0.3437
EDENTON AT COX MILL,109,76.49,0,0.7018
CUMBERLAND,108,27.43,0,0.254
FOREST RIDGE,108,28.18,0,0.261
REMINGTON ESTATES,108,27.2,0,0.2519
TAY MOR,107,71.11,0,0.6646
CLARE HAVEN,106,53.48,0,0.5045
MOUNTAINBROOK II,106,74.63,0,0.7041
RAMSGATE,106,13.03,0,0.123
WOODCREEK,106,61.03,0,0.5758
PARKVIEW,105,35.21,0,0.3353
HUMMINGBIRD RIDGE,104,26.4,0,0.2539
MEADOW CREEK VILLAGE,104,19.66,0,0.1891
MISSION HILLS PH 1,104,14.91,0,0.1433
WINDSOR FOREST,103,50.64,0,0.4916
THE VILLAS AT TUCKER'S WALK,102,7.98,0,0.0782
HIDDEN VALLEY,98,21.34,0,0.2178
CASTLEBROOKE,95,26.9,0,0.2832
FOX CREEK PH2 & 3,93,9.9,0,0.1064
CAMELLIA GARDENS PH 1 (REVISED),92,55.59,0,0.6043
EDISON SQUARE,92,7.72,0,0.0839
HIDDEN POND,92,36.07,0,0.3921
"THE POINTE AT RIVERWALK, PHASE III",92,18.55,0,0.2016
HOLLY GROVE VILLAS,91,26.33,0,0.2893
CYPRESS VILLAGE,90,11.25,0,0.125
EMERSON GLEN,90,17.68,0,0.1965
HALLSTEAD PHASE 1,90,16.48,0,0.1832
J.H. SOSSAMON ESTATES,89,14.15,0,0.159
MIDLAND CROSSING,89,31.65,0,0.3556
SPRING DALE,89,33.63,0,0.3778
THE GROVE AT OAK PARK,89,17.22,0,0.1935
HERITAGE RIDGE AT MOSS CREEK,88,16.1,0,0.1829
KINGFIELD,88,40.11,0,0.4558
WEAKS PARK,87,28.0,0,0.3219
SUMMERS WALK,86,34.58,0,0.4021
BRIARCLIFF,85,33.37,0,0.3925
TIMBER FOREST,85,45.47,0,0.5349
YATES MEADOW,85,22.9,0,0.2694
BRITTANY WOODS,84,29.08,0,0.3462
FOX CREEK PH1 MP1,84,12.82,0,0.1526
FOX HUNT,84,22.54,0,0.2684
SKYBROOK CORNERS,84,8.01,0,0.0954
COLLEGE PARK,83,47.64,0,0.574
MOUNTAIN LAUREL SUBDIVISION,83,17.84,0,0.215
FOXLAIRE,82,38.95,0,0.475
SPRING VALLEY,82,72.48,0,0.8839
ELWOOD ESTATES,81,33.67,0,0.4157
CAMPBELL FARMS,80,18.54,0,0.2318
WINDING WALK PH3 MAP 1,80,19.57,0,0.2447
LANTANA,79,20.64,0,0.2612
BEAUMONT PARK,78,28.59,0,0.3666
HARRISBURG ESTATES,78,52.01,0,0.6667
MITCHELL GLEN,78,28.63,0,0.367
BRANDON RIDGE PH3,77,14.23,0,0.1848
FARM HILL,77,90.24,0,1.1719
WELLINGTON CHASE,77,27.65,0,0.3591
ABBINGTON PLACE,76,32.11,0,0.4226
HALLSTEAD PH2 MP4,76,10.54,0,0.1387
THE VILLAGES AT SKYBROOK NORTH PHASE 4 MAP 1,76,14.84,0,0.1953
RIVERWALK PH 1 MAP 10,75,16.85,0,0.2247
WHITEHALL,74,43.85,0,0.5925
CANNON MANORS,73,18.82,0,0.2578
CINNAMON HILL,73,26.73,0,0.3662
MANCHESTER PLACE,73,17.52,0,0.24
RAMA WOODS,73,46.33,0,0.6347
MALLARD POINTE ESTATES MAP 12,72,21.67,0,0.3009
SETTLER'S LANDING RESIDENTIAL TOWNHOMES PH 2 MAP 2,72,7.81,0,0.1084
STALLINGS FARM,72,45.0,0,0.625
BLUME PH7,71,43.0,0,0.6057
BRENTWOOD,71,27.02,0,0.3806
BROOKVUE PH 5 MAP 1,71,13.62,0,0.1918
RACCOON HOLLOW,71,28.15,0,0.3965
CHRISTENBURY COMMONS TOWNHOMES,70,7.84,0,0.112
FAIRWAY RIDGE,70,29.23,0,0.4175
CRIPPLE CREEK,69,33.09,0,0.4796
PEBBLEBROOK AC.,69,89.89,0,1.3028
BRANTLEY WOODS,68,16.62,0,0.2444
CAMELLIA GARDENS PH 2,68,18.58,0,0.2733
MOUNTAIN BROOK,68,46.81,0,0.6883
PROVINCE GREEN,68,53.11,0,0.781
RAMSGATE SUBDIVISION PHASE 2 MAP 1,67,12.69,0,0.1893
WINDROSE,67,23.82,0,0.3555
BERKSHIRE,66,23.47,0,0.3555
BRIGHTON PARK,66,79.3,0,1.2015
CAMPBELL FARMS PH1 MP2,66,14.4,0,0.2182
LANTERN GREEN,65,25.56,0,0.3932
WINECOFF HILLS,65,48.73,0,0.7497
CHADBURY,64,10.77,0,0.1683
CONDOS @ HARRISBURG TOWN CENTER,64,0.67,0,0.0105
HEATHERSTONE,64,18.04,0,0.2818
BROWER ESTATES,63,12.33,0,0.1957
FENTON-DELL,63,27.84,0,0.4419
Mission Hills  Ph 2,63,9.63,0,0.1529
THE VILLAGES AT SKYBROOK NORTH PH 2 MAP 1,63,15.43,0,0.2449
WINDING WALK PHASE 2 MAP 2,63,23.9,0,0.3793
WOLF MEADOWS ACRES,63,51.16,0,0.812
WOODRIDGE CONDOS,63,5.16,0,0.0819
HAMPDEN VILLAGE PH 3,62,9.97,0,0.1609
NEW HAVEN PARK,62,46.56,0,0.7509
PHIFER PARK,62,25.52,0,0.4117
THE HAVEN AT ROCKY RIVER MP4,62,10.34,0,0.1668
BLUME PH1,61,22.45,0,0.368
PARK VIEW ESTATES,61,20.01,0,0.328
ROBERTA CROSSING,61,20.27,0,0.3322
MOTORSPORTS INDUSTRIAL,60,86.5,0,1.4417
ELDORADO HILLS,59,25.98,0,0.4403
FREEDOM PARK,59,24.09,0,0.4083
THE VILLAGES AT SKYBROOK NORTH PH 2 MAP 2,59,11.69,0,0.1981
FLOWERS FARM,58,31.17,0,0.5374
HARRISBURG VILLAGE PH1 MP2,58,16.48,0,0.2841
MALLARD POINTE ESTATES,58,13.16,0,0.2269
PLEASANT OAKS PHASE 1 MAP 2,58,17.25,0,0.2974
CHRISTENBURY VILLAGE A PHASE 2 MAP 1,57,43.47,0,0.7626
HOLCOMB WOODS PH2 MP3,57,20.28,0,0.3558
NIGHTOWN,57,10.25,0,0.1798
WINDING WALK PHASE 1 MAP 2,57,14.35,0,0.2518
AFTON RUN,56,47.84,0,0.8543
BROOKVUE PH 3 MAP 1,56,12.15,0,0.217
CASTLEBROOKE MANOR PH 1 MAP 3,56,15.16,0,0.2706
PELHEM POINTE,56,15.29,0,0.273
PROVIDENCE MANOR,56,9.37,0,0.1674
