official_parcel_id,objectid_1,pin14,nbh_name,subdiv_name,parcel_quality_status,parcel_area_acres_calc,nearest_zoning_distance_m,zoning_join_status
CFS-PARCEL-0149760035,149760035,55198962310000,CONCORD PARKWAY SOUTH,,review,670.271489,1981.2,no_match
CFS-PARCEL-0149758869,149758869,55194706110000,CONCORD PARKWAY SOUTH,AQUAMARINE,trusted,489.431721,1390.99,no_match
CFS-PARCEL-0149782624,149782624,56004040690000,CONCORD PARKWAY SOUTH,,review,442.85781,4297.15,no_match
CFS-PARCEL-0149789146,149789146,56102182090000,CONCORD PARKWAY SOUTH,LILLY CONCORD,trusted,383.586843,3120.78,no_match
CFS-PARCEL-0149727653,149727653,45995270340000,CONCORD MILLS,,review,315.398177,1005.09,no_match
CFS-PARCEL-0149725625,149725625,249C094,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,review,300.070552,1605.26,no_match
CFS-PARCEL-0149721567,149721567,144 001000001,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,review,259.596888,2942.08,no_match
CFS-PARCEL-0149736050,149736050,45994563490000,AIRPORT,BONDS QUARRY,trusted,237.215836,1920.6,no_match
CFS-PARCEL-0149749980,149749980,46903099120000,AIRPORT,,review,217.782203,1604.96,no_match
CFS-PARCEL-0149749981,149749981,46903099120000,AIRPORT,,review,217.782203,1604.96,no_match
CFS-PARCEL-0149788886,149788886,56103323360000,CABARRUS COUNTRY CLUB,,review,213.826571,3795.15,no_match
CFS-PARCEL-0149787201,149787201,56034088290000,NORTHWEST CABARRUS SCHOOL,,review,160.87677,1303.05,no_match
CFS-PARCEL-0149749606,149749606,55082246090000,CHARLOTTE MOTOR SPEEDWAY,,review,155.019551,695.75,no_match
CFS-PARCEL-0149749607,149749607,55082246090000,CHARLOTTE MOTOR SPEEDWAY,,review,155.019551,695.75,no_match
CFS-PARCEL-0149726579,149726579,45896367300000,CONCORD MILLS,,review,141.834174,446.25,no_match
