"B1_ALT_ID","B1_APP_TYPE_ALIAS","B1_FILE_DD","address","parcelNum","CO_Issued","CO_Date"
"BU2026-01857","Building Residential New","2026-06-11 00:00:00","1597 GOSSAGE LN NW, AC# CONCORD, NC 28027","46815833720000","0",""
"BU2026-01858","Building Residential New","2026-06-11 00:00:00","5920 GRANBURY DR, AC# KANNAPOLIS, NC 28081","56039875170000","0",""
"BU2026-01859","Building Residential New","2026-06-11 00:00:00","5910 GRANBURY DR, AC# KANNAPOLIS, NC 28081","56039865960000","0",""
"BU2026-01860","Building Residential New","2026-06-11 00:00:00","5900 GRANBURY DR, AC# KANNAPOLIS, NC 28081","56039865760000","0",""
"BU2026-01861","Building Residential New","2026-06-11 00:00:00","5890 GRANBURY DR, AC# KANNAPOLIS, NC 28081","56039865560000","0",""
"BU2026-01862","Building Residential New","2026-06-11 00:00:00","5880 GRANBURY DR, AC# KANNAPOLIS, NC 28081","56039865260000","0",""
"BU2026-01849","Building Residential New","2026-06-10 00:00:00","2805 PINECLIFF DR KANNAPOLIS, NC 28027","46820362180000","0",""
"BU2026-01850","Building Residential New","2026-06-10 00:00:00","8390 KNOCKANY ROAD NW RD NW CONCORD, NC 28027","46816257380000","0",""
"BU2026-01852","Building Residential New","2026-06-10 00:00:00","695 DOWNSHIRE ROAD NW RD NW CONCORD, NC 28027","46816238020000","0",""
"BU2026-01853","Building Residential New","2026-06-10 00:00:00","8372 KNOCKANY ROAD NW RD NW CONCORD, NC 28027","46816287710000","0",""
"BU2026-01831","Building Residential New","2026-06-09 00:00:00","2943 ALVESTON DR NW, AC# CONCORD, NC 28027","56106908300000","0",""
"BU2026-01839","Building Residential New","2026-06-09 00:00:00","1593 GOSSAGE LN NW, AC# CONCORD, NC 28027","46815843200000","0",""
"BU2026-01840","Building Residential New","2026-06-09 00:00:00","103 HIGH AVE SW, LT# CONCORD, NC 28025","56300405310000","0",""
"BU2026-01842","Building Residential New","2026-06-09 00:00:00","244 CEDAR DR NW CONCORD, NC 28025","56205762880000","0",""
"BU2026-01815","Building Residential New","2026-06-08 00:00:00","8368 KNOCKANY ROAD NW RD NW CONCORD, NC 28027","46816297500000","0",""
"BU2026-01817","Building Residential New","2026-06-08 00:00:00","552 RAFFERTY HILL DRIVE NW DR NW CONCORD, NC 28027","46818217130000","0",""
"BU2026-01818","Building Residential New","2026-06-08 00:00:00","5450 S OAKMONT ST, AC# KANNAPOLIS, NC 28081","56034782050000","0",""
"BU2026-01820","Building Residential New","2026-06-08 00:00:00","8374 KNOCKANY ROAD NW RD NW CONCORD, NC 28027","46816287030000","0",""
"BU2026-01826","Building Residential New","2026-06-08 00:00:00","59 PINE ST NW, LT# CONCORD, NC 28025","56206615830000","0",""
"BU2026-01829","Building Residential New","2026-06-08 00:00:00","910 W 8TH ST KANNAPOLIS, NC 28081","148 279","0",""
"BU2026-01800","Building Residential New","2026-06-05 00:00:00","550 S HALIFAX ST, AC# MT PLEASANT, NC 28124","56700432430000","0",""
"BU2026-01806","Building Residential New","2026-06-05 00:00:00","9550 TEAMWORK ST NW CONCORD, NC 28027","46813796630000","0",""
"BU2026-01807","Building Residential New","2026-06-05 00:00:00","9552 TEAMWORK ST NW CONCORD, NC 28027","46813796420000","0",""
"BU2026-01808","Building Residential New","2026-06-05 00:00:00","9554 TEAMWORK ST NW CONCORD, NC 28027","46813796210000","0",""
"BU2026-01809","Building Residential New","2026-06-05 00:00:00","9556 TEAMWORK ST NW CONCORD, NC 28027","46813786900000","0",""
"BU2026-01810","Building Residential New","2026-06-05 00:00:00","9558 TEAMWORK ST NW CONCORD, NC 28027","46813786700000","0",""
"BU2026-01813","Building Residential New","2026-06-05 00:00:00","8378 KNOCKANY ROAD NW RD NW CONCORD, NC 28027","46816277340000","0",""
"BU2026-01797","Building Commercial New","2026-06-05 00:00:00","174 PATTERSON AVE SE, AC# CONCORD, NC 28025","56300971870000","0",""
"BU2026-01798","Building Commercial New","2026-06-05 00:00:00","205 SHANNON DR SW, LT# A CONCORD, NC 28025","56208319080000","0",""
"BU2026-01805","Building Commercial New","2026-06-05 00:00:00","182 PATTERSON AVE SE, AC# CONCORD, NC 28025","56300971870000","0",""
"BU2026-01764","Building Residential New","2026-06-04 00:00:00","7358 CHILDRESS DR SW CONCORD, NC 28025","55275146420000","0",""
"BU2026-01765","Building Residential New","2026-06-04 00:00:00","7356 CHILDRESS DR SW CONCORD, NC 28025","55275146620000","0",""
"BU2026-01766","Building Residential New","2026-06-04 00:00:00","7354 CHILDRESS DR SW CONCORD, NC 28025","55275146830000","0",""
"BU2026-01767","Building Residential New","2026-06-04 00:00:00","7352 CHILDRESS DR SW CONCORD, NC 28025","55275156030000","0",""
"BU2026-01768","Building Residential New","2026-06-04 00:00:00","9601 TEAMWORK ST NW CONCORD, NC 28027","46813744470000","0",""
"BU2026-01774","Building Residential New","2026-06-04 00:00:00","9605 TEAMWORK ST NW CONCORD, NC 28027","46813735870000","0",""
"BU2026-01776","Building Residential New","2026-06-04 00:00:00","1585 GOSSAGE LN NW, AC# CONCORD, NC 28027","46815852140000","0",""
"BU2026-01777","Building Residential New","2026-06-04 00:00:00","1628 GOSSAGE LN NW, AC# CONCORD, NC 28027","46815804380000","0",""
"BU2026-01778","Building Residential New","2026-06-04 00:00:00","1624 GOSSAGE LN NW, AC# CONCORD, NC 28027","46815804890000","0",""
"BU2026-01779","Building Residential New","2026-06-04 00:00:00","1589 GOSSAGE LN NW, AC# CONCORD, NC 28027","46815842670000","0",""
"BU2026-01780","Building Residential New","2026-06-04 00:00:00","9599 TEAMWORK ST NW CONCORD, NC 28027","46813744470000","0",""
"BU2026-01782","Building Residential New","2026-06-04 00:00:00","9603 TEAMWORK ST NW CONCORD, NC 28027","46813744470000","0",""
"BU2026-01783","Building Residential New","2026-06-04 00:00:00","9603 TEAMWORK ST NW CONCORD, NC 28027","46813744470000","0",""
"BU2026-01785","Building Residential New","2026-06-04 00:00:00","2125 GOLD HILL RD E, AC# MT PLEASANT, NC 28124","66020056720000","0",""
"BU2026-01790","Building Residential New","2026-06-04 00:00:00","902 W 8TH ST KANNAPOLIS, NC 28081","148 280","0",""
"BU2026-01733","Building Residential New","2026-06-03 00:00:00","8071 MIDAS LN, AC# LOCUST, NC 28097","55763629430000","0",""
"BU2026-01734","Building Residential New","2026-06-03 00:00:00","9335 MOSS PLANTATION AVE NW, AC# CONCORD, NC 28027","46815810880000","0",""
"BU2026-01740","Building Residential New","2026-06-03 00:00:00","1005 W B ST KANNAPOLIS, NC 28081","148 030","0",""
"BU2026-01741","Building Residential New","2026-06-03 00:00:00","906 W 8TH ST KANNAPOLIS, NC 28081","148 278","0",""
"BU2026-01743","Building Residential New","2026-06-03 00:00:00","7123 HALLMARK LN, AC# MT PLEASANT, NC 28124","56605645280000","0",""
