"source_key","source_name","service_root_url","layer_id","full_layer_url","source_priority","source_status","constraint_category","source_role","geometry_type","service_layer_name","spatial_reference_wkid","record_count_observed","query_supported","field_inventory","source_reorganization_note"
"primary_hydrology_open_data","Cabarrus Hydrology","https://location.cabarruscounty.us/arcgisservices/rest/services/OpenData/Hydrology/MapServer","0","https://location.cabarruscounty.us/arcgisservices/rest/services/OpenData/Hydrology/MapServer/0","primary","active","hydrology","primary_hydrology_reference","polyline","CabarrusHydro","102719","4943","True","OBJECTID; NAME; STREAM_NAM; RIV_BASIN; SUBBASIN_; DWQ_CLASS; DWQ_CLDATE; USE_RATING; USE_DATE; SHAPE.STLength()","Cabarrus County OpenData layers may move between service folders; update registry before marking missing."
"primary_local_floodway_open_data","Cabarrus Local FloodWay","https://location.cabarruscounty.us/arcgisservices/rest/services/OpenData/Flood_Hazard_Areas/MapServer","0","https://location.cabarruscounty.us/arcgisservices/rest/services/OpenData/Flood_Hazard_Areas/MapServer/0","primary","active","local_flood_reference","supplemental_floodway_qa_reference","polygon","FloodWay","102719","249","True","FLD_AR_ID; HYDROID; ZONE_LID; FLDWAY_LID; SFHA_TF; DEPTH; STATIC_BFE; VELOCITY; METAID; Label","Cabarrus County OpenData layers may move between service folders; update registry before marking missing."
"primary_local_floodplain_500yr_open_data","Cabarrus Local FloodPlain 500 Year","https://location.cabarruscounty.us/arcgisservices/rest/services/OpenData/Flood_Hazard_Areas/MapServer","1","https://location.cabarruscounty.us/arcgisservices/rest/services/OpenData/Flood_Hazard_Areas/MapServer/1","primary","active","local_flood_reference","supplemental_500_year_floodplain_qa_reference","polygon","FloodPlain500year","102719","310","True","FLD_AR_ID; HYDROID; ZONE_LID; FLDWAY_LID; SFHA_TF; DEPTH; STATIC_BFE; VELOCITY; METAID; Label","Cabarrus County OpenData layers may move between service folders; update registry before marking missing."
"primary_local_floodplain_100yr_open_data","Cabarrus Local FloodPlain 100 Year","https://location.cabarruscounty.us/arcgisservices/rest/services/OpenData/Flood_Hazard_Areas/MapServer","2","https://location.cabarruscounty.us/arcgisservices/rest/services/OpenData/Flood_Hazard_Areas/MapServer/2","primary","active","local_flood_reference","supplemental_100_year_floodplain_qa_reference","polygon","FloodPlain100year","102719","336","True","FLD_AR_ID; HYDROID; ZONE_LID; FLDWAY_LID; SFHA_TF; DEPTH; STATIC_BFE; VELOCITY; METAID; Label","Cabarrus County OpenData layers may move between service folders; update registry before marking missing."
"legacy_hydro_fallback","Legacy Hydro Group Layer","https://location.cabarruscounty.us/arcgisservices/rest/services/opendata/MapServer","25","https://location.cabarruscounty.us/arcgisservices/rest/services/opendata/MapServer/25","fallback","fallback","hydrology","legacy_hydrology_group_reference","group_layer","Hydro","102719",,"True","","Cabarrus County OpenData layers may move between service folders; update registry before marking missing."
"legacy_yadkin_hydrology_fallback","Legacy Yadkin Hydrology","https://location.cabarruscounty.us/arcgisservices/rest/services/opendata/MapServer","26","https://location.cabarruscounty.us/arcgisservices/rest/services/opendata/MapServer/26","fallback","fallback","hydrology","legacy_hydrology_reference","polyline","Yadkin Hydrology","102719","79442","True","OBJECTID; STREAM_NAM; RIV_BASIN; Shape.STLength()","Cabarrus County OpenData layers may move between service folders; update registry before marking missing."
"soils_legacy_opendata","Legacy Soils","https://location.cabarruscounty.us/arcgisservices/rest/services/opendata/MapServer","27","https://location.cabarruscounty.us/arcgisservices/rest/services/opendata/MapServer/27","fallback","needs_review","soils_environmental_reference","legacy_best_known_soils_reference_until_newer_service_found","polygon","Soils","102719","7788","True","OBJECTID; MUSYM; MUKEY; SHAPE.STArea(); SHAPE.STLength()","Cabarrus County OpenData layers may move between service folders; update registry before marking missing."
"water_supply_watershed_legacy_opendata","Legacy Water Supply Watershed","https://location.cabarruscounty.us/arcgisservices/rest/services/opendata/MapServer","143","https://location.cabarruscounty.us/arcgisservices/rest/services/opendata/MapServer/143","fallback","needs_review","watershed_environmental_reference","legacy_best_known_watershed_reference_until_newer_service_found","polygon","Water Supply Watershed","102719","10","True","OBJECTID; CLASS; RIVER_BASI; STREAM_NAM; PCA_TYPE; Shape.STArea(); Shape.STLength()","Cabarrus County OpenData layers may move between service folders; update registry before marking missing."
"legacy_floodway_fallback","Legacy Flood Way","https://location.cabarruscounty.us/arcgisservices/rest/services/opendata/MapServer","28","https://location.cabarruscounty.us/arcgisservices/rest/services/opendata/MapServer/28","fallback","fallback","local_flood_reference","legacy_floodway_reference","polygon","Flood Way","102719","249","True","FLD_AR_ID; ZONE_LID; FLDWAY_LID; METAID; Shape.STArea(); Shape.STLength()","Cabarrus County OpenData layers may move between service folders; update registry before marking missing."
"legacy_floodplain_100yr_fallback","Legacy Flood Plain 100 Year","https://location.cabarruscounty.us/arcgisservices/rest/services/opendata/MapServer","29","https://location.cabarruscounty.us/arcgisservices/rest/services/opendata/MapServer/29","fallback","fallback","local_flood_reference","legacy_100_year_floodplain_reference","polygon","Flood Plain 100 year","102719","336","True","FLD_AR_ID; ZONE_LID; V_DATM_LID; METAID; Label; Shape.STArea(); Shape.STLength()","Cabarrus County OpenData layers may move between service folders; update registry before marking missing."
"legacy_floodplain_500yr_fallback","Legacy Flood Plain 500 Year","https://location.cabarruscounty.us/arcgisservices/rest/services/opendata/MapServer","30","https://location.cabarruscounty.us/arcgisservices/rest/services/opendata/MapServer/30","fallback","fallback","local_flood_reference","legacy_500_year_floodplain_reference","polygon","Flood Plain 500 year","102719","310","True","FLD_AR_ID; ZONE_LID; LEN_LID; METAID; Label; Shape.STArea(); Shape.STLength()","Cabarrus County OpenData layers may move between service folders; update registry before marking missing."
