source_key,source_name,jurisdiction,source_year,layer_id,full_layer_url,service_root_url,geometry_type,spatial_reference,record_count,field_names,zoning_code_field_candidates,zoning_district_field_candidates,case_number_field_candidates,date_field_candidates,query_supported,geometry_available,usable_for_historical_overlay,usable_for_change_detection,temporal_confidence,classification,notes,error
harrisburg_zoning_2015,Harrisburg_Zoning_2015,Harrisburg,2015,147,https://location.cabarruscounty.us/arcgisservices/rest/services/opendata/MapServer/147,https://location.cabarruscounty.us/arcgisservices/rest/services/opendata/MapServer,esriGeometryPolygon,"{""wkid"": 102719, ""latestWkid"": 2264, ""xyTolerance"": 0.0029802322429328676, ""zTolerance"": 2, ""mTolerance"": 2, ""falseX"": -134225712.9102801, ""falseY"": -101337230.93752107, ""xyUnits"": 33059835.262158718, ""falseZ"": 0, ""zUnits"": 1, ""falseM"": -100000, ""mUnits"": 10000}",141,"[""OBJECTID"", ""FID_harris"", ""ZONINGCODE"", ""CASE_NUMBE"", ""ZONINGDIST"", ""ZONING_GEN"", ""Shape"", ""Shape.STArea()"", ""Shape.STLength()""]","[""ZONINGCODE"", ""ZONINGDIST"", ""ZONING_GEN""]","[""ZONINGDIST"", ""ZONING_GEN""]","[""CASE_NUMBE""]",[],True,True,True,True,source_year_layer_candidate,historical_time_safe_candidate,Historical polygon layer with a zoning field candidate.,
kannapolis_zoning_2015,Kannapolis_Zoning_2015,Kannapolis,2015,148,https://location.cabarruscounty.us/arcgisservices/rest/services/opendata/MapServer/148,https://location.cabarruscounty.us/arcgisservices/rest/services/opendata/MapServer,esriGeometryPolygon,"{""wkid"": 102719, ""latestWkid"": 2264, ""xyTolerance"": 0.0029802322429328676, ""zTolerance"": 2, ""mTolerance"": 2, ""falseX"": -134225712.9102801, ""falseY"": -101337230.93752107, ""xyUnits"": 33059835.262158718, ""falseZ"": 0, ""zUnits"": 1, ""falseM"": -100000, ""mUnits"": 10000}",1655,"[""EFFECTIVE_"", ""AREA_FEET"", ""PERIMETER_"", ""ACRES"", ""AREA_FEE_1"", ""PERIMETER1"", ""AREA_FEE_2"", ""PERIMETER2"", ""AREA_FEE_3"", ""PERIMETER3"", ""OBJECTID"", ""CASE_NUMBE"", ""BASE_DISTR"", ""CU_CASE_"", ""CONDITIONA"", ""DRAFTING_N"", ""MAP_EDIT_D"", ""Shape"", ""Shape.STArea()"", ""Shape.STLength()""]","[""BASE_DISTR""]","[""BASE_DISTR""]","[""CASE_NUMBE"", ""CU_CASE_""]","[""EFFECTIVE_"", ""MAP_EDIT_D""]",True,True,True,True,source_year_layer_candidate,historical_time_safe_candidate,Historical polygon layer with a zoning field candidate.,
locust_zoning_2015,Locust_Zoning_2015,Locust,2015,149,https://location.cabarruscounty.us/arcgisservices/rest/services/opendata/MapServer/149,https://location.cabarruscounty.us/arcgisservices/rest/services/opendata/MapServer,esriGeometryPolygon,"{""wkid"": 102719, ""latestWkid"": 2264, ""xyTolerance"": 0.0029802322429328676, ""zTolerance"": 2, ""mTolerance"": 2, ""falseX"": -134225712.9102801, ""falseY"": -101337230.93752107, ""xyUnits"": 33059835.262158718, ""falseZ"": 0, ""zUnits"": 1, ""falseM"": -100000, ""mUnits"": 10000}",7,"[""OBJECTID"", ""OBJECTID_1"", ""ZONING"", ""PENDINGZON"", ""JURISDICTI"", ""SymbolCode"", ""Shape"", ""Shape.STArea()"", ""Shape.STLength()""]","[""ZONING""]",[],[],[],True,True,True,True,source_year_layer_candidate,historical_time_safe_candidate,Historical polygon layer with a zoning field candidate.,
concord_zoning_2015,Concord_Zoning_2015,Concord,2015,153,https://location.cabarruscounty.us/arcgisservices/rest/services/opendata/MapServer/153,https://location.cabarruscounty.us/arcgisservices/rest/services/opendata/MapServer,esriGeometryPolygon,"{""wkid"": 102719, ""latestWkid"": 2264, ""xyTolerance"": 0.0029802322429328676, ""zTolerance"": 2, ""mTolerance"": 2, ""falseX"": -134225712.9102801, ""falseY"": -101337230.93752107, ""xyUnits"": 33059835.262158718, ""falseZ"": 0, ""zUnits"": 1, ""falseM"": -100000, ""mUnits"": 10000}",654,"[""COC_Zoning_AREA"", ""PERIMETER"", ""OBJECTID"", ""UDO_"", ""UDO_ID"", ""ZONINGCODE"", ""ETJ"", ""CITYCODE"", ""TEMP_"", ""TEMP2"", ""OLDZONING"", ""Shape"", ""Shape.STArea()"", ""Shape.STLength()""]","[""COC_Zoning_AREA"", ""ZONINGCODE"", ""OLDZONING""]",[],[],[],True,True,True,True,source_year_layer_candidate,historical_time_safe_candidate,Historical polygon layer with a zoning field candidate.,
cabarrus_county_zoning_2015,CabarrusCounty_Zoning_2015,Cabarrus County / Unincorporated,2015,156,https://location.cabarruscounty.us/arcgisservices/rest/services/opendata/MapServer/156,https://location.cabarruscounty.us/arcgisservices/rest/services/opendata/MapServer,esriGeometryPolygon,"{""wkid"": 102719, ""latestWkid"": 2264, ""xyTolerance"": 0.0029802322429328676, ""zTolerance"": 2, ""mTolerance"": 2, ""falseX"": -134225712.9102801, ""falseY"": -101337230.93752107, ""xyUnits"": 33059835.262158718, ""falseZ"": 0, ""zUnits"": 1, ""falseM"": -100000, ""mUnits"": 10000}",207,"[""SHAPE_LENG"", ""OBJECTID"", ""ZONINGCODE"", ""CASE_NUMBE"", ""ZONINGDIST"", ""ZONING_GEN"", ""Shape"", ""Shape.STArea()"", ""Shape.STLength()""]","[""ZONINGCODE"", ""ZONINGDIST"", ""ZONING_GEN""]","[""ZONINGDIST"", ""ZONING_GEN""]","[""CASE_NUMBE""]",[],True,True,True,True,source_year_layer_candidate,historical_time_safe_candidate,Historical polygon layer with a zoning field candidate.,
mt_pleasant_zoning_2015,MtPleasant_Zoning_2015,Mt. Pleasant,2015,157,https://location.cabarruscounty.us/arcgisservices/rest/services/opendata/MapServer/157,https://location.cabarruscounty.us/arcgisservices/rest/services/opendata/MapServer,esriGeometryPolygon,"{""wkid"": 102719, ""latestWkid"": 2264, ""xyTolerance"": 0.0029802322429328676, ""zTolerance"": 2, ""mTolerance"": 2, ""falseX"": -134225712.9102801, ""falseY"": -101337230.93752107, ""xyUnits"": 33059835.262158718, ""falseZ"": 0, ""zUnits"": 1, ""falseM"": -100000, ""mUnits"": 10000}",130,"[""Acres"", ""OBJECTID"", ""ZONINGCODE"", ""Shape"", ""Shape.STArea()"", ""Shape.STLength()""]","[""ZONINGCODE""]",[],[],[],True,True,True,True,source_year_layer_candidate,historical_time_safe_candidate,Historical polygon layer with a zoning field candidate.,
midland_zoning_2015,Midland_Zoning_2015,Midland,2015,159,https://location.cabarruscounty.us/arcgisservices/rest/services/opendata/MapServer/159,https://location.cabarruscounty.us/arcgisservices/rest/services/opendata/MapServer,esriGeometryPolygon,"{""wkid"": 102719, ""latestWkid"": 2264, ""xyTolerance"": 0.0029802322429328676, ""zTolerance"": 2, ""mTolerance"": 2, ""falseX"": -134225712.9102801, ""falseY"": -101337230.93752107, ""xyUnits"": 33059835.262158718, ""falseZ"": 0, ""zUnits"": 1, ""falseM"": -100000, ""mUnits"": 10000}",115,"[""OBJECTID"", ""Id"", ""Zoning_Typ"", ""Zone_ID"", ""Note_"", ""Overlay"", ""Transparen"", ""Shape"", ""Shape.STArea()"", ""Shape.STLength()""]","[""Zoning_Typ"", ""Zone_ID""]","[""Zoning_Typ"", ""Zone_ID""]",[],[],True,True,True,True,source_year_layer_candidate,historical_time_safe_candidate,Historical polygon layer with a zoning field candidate.,
kannapolis_zoning_2014,Kannapolis_Zoning_2014,Kannapolis,2014,52,https://location.cabarruscounty.us/arcgisservices/rest/services/opendata/MapServer/52,https://location.cabarruscounty.us/arcgisservices/rest/services/opendata/MapServer,esriGeometryPolygon,"{""wkid"": 102719, ""latestWkid"": 2264, ""xyTolerance"": 0.0029802322429328676, ""zTolerance"": 2, ""mTolerance"": 2, ""falseX"": -134225712.9102801, ""falseY"": -101337230.93752107, ""xyUnits"": 33059835.262158718, ""falseZ"": 0, ""zUnits"": 1, ""falseM"": -100000, ""mUnits"": 10000}",2009,"[""OBJECTID"", ""BASE_DISTR"", ""CU_CASE_"", ""Shape"", ""Shape.STArea()"", ""Shape.STLength()""]","[""BASE_DISTR""]","[""BASE_DISTR""]","[""CU_CASE_""]",[],True,True,True,True,source_year_layer_candidate,historical_time_safe_candidate,Historical polygon layer with a zoning field candidate.,
locust_zoning_2014,Locust_Zoning_2014,Locust,2014,53,https://location.cabarruscounty.us/arcgisservices/rest/services/opendata/MapServer/53,https://location.cabarruscounty.us/arcgisservices/rest/services/opendata/MapServer,esriGeometryPolygon,"{""wkid"": 102719, ""latestWkid"": 2264, ""xyTolerance"": 0.0029802322429328676, ""zTolerance"": 2, ""mTolerance"": 2, ""falseX"": -134225712.9102801, ""falseY"": -101337230.93752107, ""xyUnits"": 33059835.262158718, ""falseZ"": 0, ""zUnits"": 1, ""falseM"": -100000, ""mUnits"": 10000}",7,"[""OBJECTID"", ""OBJECTID_1"", ""ZONING"", ""Shape"", ""Shape.STArea()"", ""Shape.STLength()""]","[""ZONING""]",[],[],[],True,True,True,True,source_year_layer_candidate,historical_time_safe_candidate,Historical polygon layer with a zoning field candidate.,
harrisburg_zoning_2014,Harrisburg_Zoning_2014,Harrisburg,2014,54,https://location.cabarruscounty.us/arcgisservices/rest/services/opendata/MapServer/54,https://location.cabarruscounty.us/arcgisservices/rest/services/opendata/MapServer,esriGeometryPolygon,"{""wkid"": 102719, ""latestWkid"": 2264, ""xyTolerance"": 0.0029802322429328676, ""zTolerance"": 2, ""mTolerance"": 2, ""falseX"": -134225712.9102801, ""falseY"": -101337230.93752107, ""xyUnits"": 33059835.262158718, ""falseZ"": 0, ""zUnits"": 1, ""falseM"": -100000, ""mUnits"": 10000}",122,"[""OBJECTID"", ""ZONINGCODE"", ""ZONING_GEN"", ""Shape"", ""Shape.STArea()"", ""Shape.STLength()""]","[""ZONINGCODE"", ""ZONING_GEN""]","[""ZONING_GEN""]",[],[],True,True,True,True,source_year_layer_candidate,historical_time_safe_candidate,Historical polygon layer with a zoning field candidate.,
