source_permit_id,permit_file_date,address_raw,parcel_num_raw,parcel_num_normalized,match_warning
BU2026-01829,2026-06-08,"910 W 8TH ST KANNAPOLIS, NC 28081",148 279,148279,invalid or placeholder parcel number
BU2026-01790,2026-06-04,"902 W 8TH ST KANNAPOLIS, NC 28081",148 280,148280,invalid or placeholder parcel number
BU2026-01740,2026-06-03,"1005 W B ST KANNAPOLIS, NC 28081",148 030,148030,invalid or placeholder parcel number
BU2026-01741,2026-06-03,"906 W 8TH ST KANNAPOLIS, NC 28081",148 278,148278,invalid or placeholder parcel number
BU2026-01708,2026-06-01,"2703 GLENDALE AVE KANNAPOLIS, NC 28081",156 230,156230,invalid or placeholder parcel number
BU2026-01709,2026-06-01,"2705 GLENDALE AVE KANNAPOLIS, NC 28081",156 414,156414,invalid or placeholder parcel number
BU2026-01710,2026-06-01,"2707 GLENDALE AVE KANNAPOLIS, NC 28081",156 230,156230,invalid or placeholder parcel number
BU2026-01676,2026-05-29,"424 SAND DUNES DR KANNAPOLIS, NC 28081",154I088,154088,invalid or placeholder parcel number
BU2026-01677,2026-05-29,"420 SAND DUNES DR KANNAPOLIS, NC 28081",154I089,154089,invalid or placeholder parcel number
BU2026-01678,2026-05-29,"416 SAND DUNES DR KANNAPOLIS, NC 28081",154I090,154090,invalid or placeholder parcel number
BU2026-01679,2026-05-29,"412 SAND DUNES DR KANNAPOLIS, NC 28081",154I091,154091,invalid or placeholder parcel number
BU2026-01680,2026-05-29,"408 SAND DUNES DR KANNAPOLIS, NC 28081",154I092,154092,invalid or placeholder parcel number
BU2026-01681,2026-05-29,"404 SAND DUNES DR KANNAPOLIS, NC 28081",154I093,154093,invalid or placeholder parcel number
BU2026-01662,2026-05-28,"1745 PLAZA AVE KANNAPOLIS, NC 28081",159 026,159026,invalid or placeholder parcel number
BU2026-01622,2026-05-26,"416 W 18TH ST KANNAPOLIS, NC 28081",154I053,154053,invalid or placeholder parcel number
BU2026-01627,2026-05-26,"2501 GLENWOOD ST A KANNAPOLIS, NC 28083",145A224,145224,invalid or placeholder parcel number
BU2026-01575,2026-05-20,"422 W 18TH ST KANNAPOLIS, NC 28081",154I052,154052,invalid or placeholder parcel number
BU2026-01542,2026-05-18,"3140 LAVENDER LN KANNAPOLIS, NC 28083",158B053,158053,invalid or placeholder parcel number
BU2026-01548,2026-05-18,"410 W 18TH ST KANNAPOLIS, NC 28081",154I054,154054,invalid or placeholder parcel number
BU2026-01549,2026-05-18,"1345 WINGED WAY KANNAPOLIS, NC 28083",158B005,158005,invalid or placeholder parcel number
BU2026-01480,2026-05-12,"630 HOT SPRINGS DR KANNAPOLIS, NC 28081",154I236,154236,invalid or placeholder parcel number
BU2026-01487,2026-05-12,"612 HOT SPRINGS DR KANNAPOLIS, NC 28081",154I233,154233,invalid or placeholder parcel number
BU2026-01490,2026-05-12,"618 HOT SPRINGS DR KANNAPOLIS, NC 28081",154I234,154234,invalid or placeholder parcel number
BU2026-01493,2026-05-12,"624 HOT SPRINGS DR KANNAPOLIS, NC 28081",154I235,154235,invalid or placeholder parcel number
BU2026-01455,2026-05-11,"637 HOT SPRINGS DR KANNAPOLIS, NC 28081",154I223,154223,invalid or placeholder parcel number
BU2026-01457,2026-05-11,"625 HOT SPRINGS DR KANNAPOLIS, NC 28081",154I225,154225,invalid or placeholder parcel number
BU2026-01458,2026-05-11,"2501 GLENWOOD ST B KANNAPOLIS, NC 28083",145A225,145225,invalid or placeholder parcel number
BU2026-01447,2026-05-08,"631 HOT SPRINGS DR KANNAPOLIS, NC 28081",154I224,154224,invalid or placeholder parcel number
BU2026-01431,2026-05-07,"211 W 18TH ST KANNAPOLIS, NC 28081",159 005,159005,invalid or placeholder parcel number
BU2026-01353,2026-05-04,"397 W 18TH ST KANNAPOLIS, NC 28081",154I031,154031,invalid or placeholder parcel number
BU2026-01355,2026-05-04,"601 HOT SPRINGS DR KANNAPOLIS, NC 28081",154I230,154230,invalid or placeholder parcel number
BU2026-01360,2026-05-04,"404 W 18TH ST KANNAPOLIS, NC 28081",154I055,154055,invalid or placeholder parcel number
