source_permit_id,permit_type_class,permit_file_date,address_raw,parcel_num_raw,parcel_num_normalized,match_confidence,match_warning
BU2026-01817,residential_new_construction,2026-06-08,"552 RAFFERTY HILL DRIVE NW DR NW CONCORD, NC 28027",46818217130000,46818217130000,ambiguous,ambiguous pin14 matched multiple parcels
BU2026-01797,commercial_new_construction,2026-06-05,"174 PATTERSON AVE SE, AC# CONCORD, NC 28025",56300971870000,56300971870000,unmatched,no matching parcels_enriched.pin14
BU2026-01798,commercial_new_construction,2026-06-05,"205 SHANNON DR SW, LT# A CONCORD, NC 28025",56208319080000,56208319080000,unmatched,no matching parcels_enriched.pin14
BU2026-01800,residential_new_construction,2026-06-05,"550 S HALIFAX ST, AC# MT PLEASANT, NC 28124",56700432430000,56700432430000,unmatched,no matching parcels_enriched.pin14
BU2026-01805,commercial_new_construction,2026-06-05,"182 PATTERSON AVE SE, AC# CONCORD, NC 28025",56300971870000,56300971870000,unmatched,no matching parcels_enriched.pin14
BU2026-01747,residential_new_construction,2026-06-03,"10231 RAINIER TRAIL DR NW HUNTERSVILLE, NC 28078",46718083630000,46718083630000,unmatched,no matching parcels_enriched.pin14
BU2026-01748,residential_new_construction,2026-06-03,"10229 RAINIER TRAIL DR NW HUNTERSVILLE, NC 28078",46718083630000,46718083630000,unmatched,no matching parcels_enriched.pin14
BU2026-01749,residential_new_construction,2026-06-03,"10233 RAINIER TRAIL DR NW HUNTERSVILLE, NC 28078",46718083630000,46718083630000,unmatched,no matching parcels_enriched.pin14
BU2026-01657,residential_new_construction,2026-05-28,"469 FAITH DR SW, AC# CONCORD, NC 28027",55294740630000,55294740630000,unmatched,no matching parcels_enriched.pin14
BU2026-01630,commercial_new_construction,2026-05-26,"9530 WHIPPET WAY CONCORD, NC 28027",45894378080000,45894378080000,unmatched,no matching parcels_enriched.pin14
BU2026-01556,residential_new_construction,2026-05-19,"9970 US HWY 601 S, AC# MIDLAND, NC 28107",55551909910000,55551909910000,unmatched,no matching parcels_enriched.pin14
BU2026-01564,residential_new_construction,2026-05-19,"121 OAKDALE AVE SW, LT# CONCORD, NC 28027",55292594970000,55292594970000,unmatched,no matching parcels_enriched.pin14
BU2026-01504,residential_new_construction,2026-05-13,"1165 ROSEWOOD AVE KANNAPOLIS, NC 28081",56133257910000,56133257910000,ambiguous,ambiguous pin14 matched multiple parcels
BU2026-01476,residential_new_construction,2026-05-12,"1347 ODELL SCHOOL RD CONCORD, NC 28027",46815685720000,46815685720000,unmatched,no matching parcels_enriched.pin14
BU2026-01403,residential_new_construction,2026-05-06,"103 SWINK ST SW CONCORD, NC 28027",56204164500000,56204164500000,unmatched,no matching parcels_enriched.pin14
BU2026-01211,residential_new_construction,2026-04-23,"3145 EVA DR NW, AC# CONCORD, NC 28027",56114027580000,56114027580000,unmatched,no matching parcels_enriched.pin14
BU2026-01196,residential_new_construction,2026-04-22,"803 SKYLAND ST, LT# A KANNAPOLIS, NC 28083",56231718240000,56231718240000,unmatched,no matching parcels_enriched.pin14
BU2026-01197,residential_new_construction,2026-04-22,"803 SKYLAND ST, LT# B KANNAPOLIS, NC 28083",56231718240000,56231718240000,unmatched,no matching parcels_enriched.pin14
BU2026-01164,residential_new_construction,2026-04-21,"105 SWINK ST SW CONCORD, NC 28027",56204153240000,56204153240000,unmatched,no matching parcels_enriched.pin14
BU2026-01165,residential_new_construction,2026-04-21,"880 OLD CHARLOTTE RD SW, LT# CONCORD, NC 28027",55293861170000,55293861170000,unmatched,no matching parcels_enriched.pin14
BU2026-01167,residential_new_construction,2026-04-21,"12521 CULP RD GOLD HILL, NC 28071",56922995870000,56922995870000,unmatched,no matching parcels_enriched.pin14
BU2026-01172,residential_new_construction,2026-04-21,"310 GURLEY DR NW CONCORD, NC 28027",56210065920000,56210065920000,unmatched,no matching parcels_enriched.pin14
BU2026-01173,residential_new_construction,2026-04-21,"664 JACKSON TER SW, LT# CONCORD, NC 28027",55292594970000,55292594970000,unmatched,no matching parcels_enriched.pin14
BU2026-01175,residential_new_construction,2026-04-21,"668 JACKSON TER SW, LT# CONCORD, NC 28027",55292594810000,55292594810000,unmatched,no matching parcels_enriched.pin14
BU2026-01183,commercial_new_construction,2026-04-21,"4927 DOGWOOD BLVD KANNAPOLIS, NC 28081",56023946640000,56023946640000,unmatched,no matching parcels_enriched.pin14
BU2026-01092,residential_new_construction,2026-04-15,"5798 MCCLENNY DR KANNAPOLIS, NC 28027",56010597240000,56010597240000,unmatched,no matching parcels_enriched.pin14
BU2026-00997,commercial_new_construction,2026-04-07,"2438 COLD WATER RIDGE DR KANNAPOLIS, NC 28083",56224856520000,56224856520000,unmatched,no matching parcels_enriched.pin14
BU2026-00983,residential_new_construction,2026-04-06,"1900 MONTEROSA RD, AC# CONCORD, NC 28025",55250866370000,55250866370000,unmatched,no matching parcels_enriched.pin14
BU2026-00946,residential_new_construction,2026-04-01,"117 TRIECE ST KANNAPOLIS, NC 28081",56135192190000,56135192190000,unmatched,no matching parcels_enriched.pin14
BU2026-00877,residential_new_construction,2026-03-25,"10446 AMBERCREST CT NW HUNTERSVILLE, NC 28078",46717301970000,46717301970000,unmatched,no matching parcels_enriched.pin14
BU2026-00867,residential_new_construction,2026-03-24,"10450 AMBERCREST CT NW HUNTERSVILLE, NC 28078",46717301970000,46717301970000,unmatched,no matching parcels_enriched.pin14
BU2026-00873,residential_new_construction,2026-03-24,"10448 AMBERCREST CT NW HUNTERSVILLE, NC 28078",46717301970000,46717301970000,unmatched,no matching parcels_enriched.pin14
BU2026-00832,residential_new_construction,2026-03-19,"1218 FOSTER HOLLY AVE NW, AC# HUNTERSVILLE, NC 28078",46717324260000,46717324260000,unmatched,no matching parcels_enriched.pin14
BU2026-00770,commercial_new_construction,2026-03-13,"6054 GLEN AFTON BLVD KANNAPOLIS, NC 28027",46919262440000,46919262440000,ambiguous,ambiguous pin14 matched multiple parcels
BU2026-00700,residential_new_construction,2026-03-10,"10445 AMBERCREST CT NW, AC# HUNTERSVILLE, NC 28078",46717301970000,46717301970000,unmatched,no matching parcels_enriched.pin14
BU2026-00687,residential_new_construction,2026-03-09,"1218 WHITE BIRCH AVE NW, AC# HUNTERSVILLE, NC 28078",46716392230000,46716392230000,unmatched,no matching parcels_enriched.pin14
BU2026-00688,residential_new_construction,2026-03-09,"10439 AMBERCREST CT NW, AC# HUNTERSVILLE, NC 28078",46717301970000,46717301970000,unmatched,no matching parcels_enriched.pin14
BU2026-00689,residential_new_construction,2026-03-09,"1216 WHITE BIRCH AVE NW, AC# HUNTERSVILLE, NC 28078",46716392230000,46716392230000,unmatched,no matching parcels_enriched.pin14
BU2026-00690,residential_new_construction,2026-03-09,"10441 AMBERCREST CT NW, AC# HUNTERSVILLE, NC 28078",46717301970000,46717301970000,unmatched,no matching parcels_enriched.pin14
BU2026-00696,residential_new_construction,2026-03-09,"10443 AMBERCREST CT NW HUNTERSVILLE, NC 28078",46717301970000,46717301970000,unmatched,no matching parcels_enriched.pin14
BU2026-00686,residential_new_construction,2026-03-06,"1220 WHITE BIRCH AVE NW, AC# HUNTERSVILLE, NC 28078",46716392230000,46716392230000,unmatched,no matching parcels_enriched.pin14
