zoning_change_event_id,official_parcel_id,pin14,change_year,previous_zoning_code,new_zoning_code,previous_general_category,new_general_category,zoning_jurisdiction,previous_source_year,new_source_year,zoning_change_type,zoning_intensity_change,confidence,temporal_status,notes,created_at
44,CFS-PARCEL-0149721460,133 144,2006,C-2,I-1,commercial,industrial,Kannapolis,2005,2006,code_and_category_changed,increased,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
387,CFS-PARCEL-0149726572,45895765320000,2006,LI,NOT-YET-ZONED,industrial,other_or_review,Concord,2005,2006,code_and_category_changed,review_required,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
418,CFS-PARCEL-0149726692,45895786840000,2006,LI,NOT-YET-ZONED,industrial,other_or_review,Concord,2005,2006,code_and_category_changed,review_required,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
421,CFS-PARCEL-0149726723,45896608890000,2006,LI,NOT-YET-ZONED,industrial,other_or_review,Concord,2005,2006,code_and_category_changed,review_required,medium,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
858,CFS-PARCEL-0149727577,45989159250000,2006,PUD,PID,mixed_use_or_planned,other_or_review,Cabarrus County / Unincorporated,2005,2006,code_and_category_changed,review_required,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
862,CFS-PARCEL-0149727578,45989159250000,2006,PUD,PID,mixed_use_or_planned,other_or_review,Cabarrus County / Unincorporated,2005,2006,code_and_category_changed,review_required,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
866,CFS-PARCEL-0149727579,45989275310000,2006,PUD,PID,mixed_use_or_planned,other_or_review,Cabarrus County / Unincorporated,2005,2006,code_and_category_changed,review_required,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
870,CFS-PARCEL-0149727580,45989275310000,2006,PUD,PID,mixed_use_or_planned,other_or_review,Cabarrus County / Unincorporated,2005,2006,code_and_category_changed,review_required,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
944,CFS-PARCEL-0149728530,46705583760000,2006,OI,C-2,commercial,commercial,Concord,2005,2006,zoning_code_changed,lateral_or_code_only,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
945,CFS-PARCEL-0149728531,46705594660000,2006,OI,C-2,commercial,commercial,Concord,2005,2006,zoning_code_changed,lateral_or_code_only,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
949,CFS-PARCEL-0149728659,46705592390000,2006,OI,C-2,commercial,commercial,Concord,2005,2006,zoning_code_changed,lateral_or_code_only,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
950,CFS-PARCEL-0149728660,46705692990000,2006,OI,C-2,commercial,commercial,Concord,2005,2006,zoning_code_changed,lateral_or_code_only,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
951,CFS-PARCEL-0149728722,46706502310000,2006,OI,C-2,commercial,commercial,Concord,2005,2006,zoning_code_changed,lateral_or_code_only,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
952,CFS-PARCEL-0149728723,46706503290000,2006,OI,C-2,commercial,commercial,Concord,2005,2006,zoning_code_changed,lateral_or_code_only,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
953,CFS-PARCEL-0149728724,46706505810000,2006,OI,C-2,commercial,commercial,Concord,2005,2006,zoning_code_changed,lateral_or_code_only,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
