activity_year,permit_segment,permit_growth_signal,permit_count,map_relevant_count,future_prediction_relevant_count,total_permit_amount,avg_permit_signal_score
1986,residential_growth,major_growth,1,1,1,,68.0
1989,administrative_or_unknown,unknown,1,0,0,,8.0
1991,residential_growth,major_growth,1,1,1,,68.0
1998,residential_growth,major_growth,1,1,1,,68.0
1999,residential_growth,major_growth,1,1,1,,68.0
2000,demolition,redevelopment_signal,1,1,1,38000.0,62.0
2000,minor_maintenance,minor_activity,1,0,0,100.0,22.0
2000,residential_growth,major_growth,3,3,3,96790.0,70.67
2001,accessory_or_misc,minor_activity,1,0,0,3000.0,28.0
2001,redevelopment_signal,redevelopment_signal,1,1,1,,61.0
2001,residential_growth,major_growth,8,8,8,356101.0,72.5
2001,residential_growth,moderate_activity,1,1,1,5000.0,60.0
2002,accessory_or_misc,minor_activity,1,0,0,,28.0
2002,administrative_or_unknown,unknown,7,0,0,310000.0,10.57
2002,redevelopment_signal,redevelopment_signal,5,5,5,600.0,61.0
2002,residential_growth,major_growth,11,11,11,625313.0,73.64
2002,residential_growth,moderate_activity,3,3,3,72000.0,67.33
2003,administrative_or_unknown,unknown,342,0,0,,8.0
2003,redevelopment_signal,redevelopment_signal,271,271,271,,61.0
2003,residential_growth,major_growth,1251,1251,1251,,68.01
2004,administrative_or_unknown,unknown,187,0,0,,8.03
2004,redevelopment_signal,redevelopment_signal,452,452,452,,61.04
2004,residential_growth,major_growth,1340,1340,1340,,68.01
2005,administrative_or_unknown,unknown,187,0,0,,8.0
2005,commercial_activity,moderate_activity,1,1,1,,68.0
2005,redevelopment_signal,redevelopment_signal,80,80,80,,61.0
2005,residential_growth,major_growth,593,593,593,,68.01
2005,residential_growth,moderate_activity,1,1,1,,60.0
2006,accessory_or_misc,minor_activity,1,0,0,,28.0
2006,administrative_or_unknown,unknown,401,0,0,,8.03
2006,redevelopment_signal,redevelopment_signal,108,108,108,,61.0
2006,residential_growth,major_growth,885,885,885,,68.01
2006,residential_growth,moderate_activity,1,1,1,,60.0
2007,administrative_or_unknown,unknown,827,0,0,,8.04
2007,redevelopment_signal,redevelopment_signal,292,292,292,,61.0
2007,residential_growth,major_growth,2052,2052,2052,,68.01
2007,residential_growth,moderate_activity,1,1,1,,60.0
2008,accessory_or_misc,minor_activity,1,0,0,,28.0
2008,administrative_or_unknown,unknown,528,0,0,,8.03
2008,demolition,redevelopment_signal,2,2,2,,54.0
2008,minor_maintenance,minor_activity,1,0,0,,22.0
2008,redevelopment_signal,redevelopment_signal,348,348,348,,61.0
2008,residential_growth,major_growth,1358,1358,1358,,68.08
2008,residential_growth,moderate_activity,5,5,5,3500.0,61.2
2009,accessory_or_misc,minor_activity,20,0,0,,28.0
2009,administrative_or_unknown,unknown,378,0,0,,8.13
2009,demolition,redevelopment_signal,11,11,11,,56.91
2009,minor_maintenance,minor_activity,7,0,0,,22.0
2009,redevelopment_signal,redevelopment_signal,422,422,422,100.0,61.04
2009,residential_growth,major_growth,835,835,835,135500.0,68.41
2009,residential_growth,moderate_activity,17,17,17,,60.35
2010,accessory_or_misc,minor_activity,101,0,0,,28.71
2010,administrative_or_unknown,unknown,237,0,0,123000.0,8.81
2010,commercial_activity,major_growth,2,2,2,367000.0,86.0
2010,commercial_activity,moderate_activity,6,6,6,,64.0
2010,demolition,redevelopment_signal,62,62,62,,56.94
2010,institutional_activity,moderate_activity,1,1,1,,58.0
2010,minor_maintenance,minor_activity,53,0,0,,22.57
2010,redevelopment_signal,redevelopment_signal,167,167,167,47500.0,61.44
2010,residential_growth,major_growth,727,727,727,228820.0,69.3
2010,residential_growth,moderate_activity,139,139,139,,60.22
2011,accessory_or_misc,minor_activity,101,0,0,,28.53
2011,administrative_or_unknown,unknown,267,0,0,45200.0,8.46
2011,commercial_activity,moderate_activity,8,8,8,,63.5
2011,demolition,redevelopment_signal,55,55,55,,57.56
2011,institutional_activity,moderate_activity,3,3,3,,62.0
2011,minor_maintenance,minor_activity,63,0,0,,22.38
2011,redevelopment_signal,redevelopment_signal,163,163,163,74000.0,61.45
2011,residential_growth,major_growth,864,864,864,,69.69
2011,residential_growth,moderate_activity,139,139,139,,60.47
2012,accessory_or_misc,minor_activity,103,0,0,,28.82
2012,administrative_or_unknown,unknown,276,0,0,,8.61
2012,commercial_activity,moderate_activity,6,6,6,82000.0,64.33
2012,demolition,redevelopment_signal,74,74,74,30000.0,57.38
2012,minor_maintenance,minor_activity,56,0,0,,22.32
2012,redevelopment_signal,redevelopment_signal,107,107,107,1000.0,61.56
2012,residential_growth,major_growth,1044,1044,1044,4676685.0,69.27
2012,residential_growth,moderate_activity,140,140,140,,60.26
2013,accessory_or_misc,minor_activity,131,0,0,2600.0,28.87
2013,administrative_or_unknown,unknown,241,0,0,50746.0,8.63
2013,commercial_activity,major_growth,1,1,1,275000.0,86.0
2013,commercial_activity,moderate_activity,19,19,19,,62.63
2013,demolition,redevelopment_signal,86,86,86,31691.0,55.35
2013,institutional_activity,moderate_activity,1,1,1,,58.0
2013,minor_maintenance,minor_activity,71,0,0,15721.0,22.51
2013,redevelopment_signal,redevelopment_signal,202,202,202,47013.9,61.53
2013,residential_growth,major_growth,1159,1159,1159,9808210.83,68.68
2013,residential_growth,moderate_activity,157,157,157,62956.0,60.66
2014,accessory_or_misc,minor_activity,118,4,0,2109785.46,30.46
2014,administrative_or_unknown,unknown,175,0,0,16604046.02,12.53
2014,commercial_activity,major_growth,18,18,18,26005771.0,89.11
2014,commercial_activity,moderate_activity,108,108,108,565736.8,63.39
2014,demolition,redevelopment_signal,81,81,81,842262.0,55.88
2014,institutional_activity,major_growth,1,1,1,150000.0,82.0
2014,institutional_activity,moderate_activity,3,3,3,8200.0,62.0
2014,minor_maintenance,minor_activity,81,2,0,1177456.4,24.07
2014,redevelopment_signal,redevelopment_signal,209,209,209,4277348.95,63.83
2014,residential_growth,major_growth,1543,1543,1543,264863211.13,80.23
2014,residential_growth,moderate_activity,450,450,450,7638800.81,62.65
2015,accessory_or_misc,minor_activity,144,1,0,2351789.95,30.35
2015,administrative_or_unknown,unknown,143,0,0,9571988.0,11.86
2015,commercial_activity,major_growth,76,76,76,50017530.5,88.24
2015,commercial_activity,moderate_activity,118,118,118,821225.75,62.81
2015,demolition,redevelopment_signal,94,94,94,1129115.0,55.77
2015,institutional_activity,moderate_activity,2,2,2,500.0,61.0
2015,minor_maintenance,minor_activity,123,13,0,6166470.46,25.84
2015,redevelopment_signal,redevelopment_signal,302,302,302,15341405.95,65.44
2015,residential_growth,major_growth,1604,1604,1604,346152571.5,83.36
2015,residential_growth,moderate_activity,535,535,535,10063551.33,63.07
2016,accessory_or_misc,minor_activity,153,0,0,2499921.81,31.01
2016,administrative_or_unknown,unknown,147,0,0,2462547.0,10.8
2016,commercial_activity,major_growth,114,114,114,97971707.0,89.53
2016,commercial_activity,moderate_activity,152,152,152,1332156.17,63.13
2016,demolition,redevelopment_signal,77,77,77,4033450.0,56.75
2016,institutional_activity,major_growth,1,1,1,147000.0,82.0
2016,institutional_activity,moderate_activity,2,2,2,4400.0,61.0
2016,minor_maintenance,minor_activity,209,15,0,12307955.57,24.3
2016,redevelopment_signal,redevelopment_signal,333,333,333,8930636.0,64.98
