zone_id,school_level,school_name_raw,school_name_normalized,matched_school_reference_id,match_confidence,include_in_cfs_v1,exclusion_reason,source_layer_id,source_objectid
SCHOOLZONE-ELEMENTARY-A_T_ALLEN_ELEMENTARY-54,elementary,A T Allen ES,a_t_allen_elementary,SCHOOLREF-ELEMENTARY-A_T_ALLEN_ELEMENTARY-64,normalized_exact,True,,140,54
SCHOOLZONE-ELEMENTARY-BETHEL_ELEMENTARY-55,elementary,Bethel ES,bethel_elementary,SCHOOLREF-ELEMENTARY-BETHEL_ELEMENTARY-68,normalized_exact,True,,140,55
SCHOOLZONE-ELEMENTARY-CARL_A_FURR_ELEMENTARY-56,elementary,Carl A Furr ES,carl_a_furr_elementary,SCHOOLREF-ELEMENTARY-CARL_A_FURR_ELEMENTARY-75,normalized_exact,True,,140,56
SCHOOLZONE-ELEMENTARY-CHARLES_E_BOGER_ELEMENTARY-57,elementary,Charles E Boger ES,charles_e_boger_elementary,SCHOOLREF-ELEMENTARY-CHARLES_E_BOGER_ELEMENTARY-74,normalized_exact,True,,140,57
SCHOOLZONE-ELEMENTARY-COLTRANE_WEBB_ELEMENTARY-58,elementary,Coltrane Webb ES,coltrane_webb_elementary,SCHOOLREF-ELEMENTARY-COLTRANE_WEBB_ELEMENTARY-57,normalized_exact,True,,140,58
SCHOOLZONE-ELEMENTARY-COX_MILL_ELEMENTARY-59,elementary,Cox Mill ES,cox_mill_elementary,SCHOOLREF-ELEMENTARY-COX_MILL_ELEMENTARY-71,normalized_exact,True,,140,59
SCHOOLZONE-ELEMENTARY-FOREST_PARK_ELEMENTARY-47,elementary,Forest Park ES,forest_park_elementary,SCHOOLREF-ELEMENTARY-FOREST_PARK_ELEMENTARY-5692,normalized_exact,False,non_ccs_not_v1,140,47
SCHOOLZONE-ELEMENTARY-FRED_L_WILSON_ELEMENTARY-48,elementary,Fred L Wilson ES,fred_l_wilson_elementary,SCHOOLREF-ELEMENTARY-FRED_L_WILSON_ELEMENTARY-79,normalized_exact,False,non_ccs_not_v1,140,48
SCHOOLZONE-ELEMENTARY-GW_CARVER_ELEMENTARY-53,elementary,GW Carver ES,gw_carver_elementary,,unmatched_reference_review,False,non_ccs_not_v1,140,53
SCHOOLZONE-ELEMENTARY-HARRISBURG_ELEMENTARY-60,elementary,Harrisburg ES,harrisburg_elementary,SCHOOLREF-ELEMENTARY-HARRISBURG_ELEMENTARY-69,normalized_exact,True,,140,60
